"en_cue","en_target","type","cue_type","target_type","en_cosine"
"leave","abandon","related","word","word",0.542610126494458
"spinal","abdominal","related","word","word",0.504819409643462
"kidnap","abduct","related","word","word",0.746008330250351
"capacity","ability","related","word","word",0.554707506584609
"out","about","related","word","word",0.230926408087315
"presence","absence","related","word","word",0.508694231661509
"ridiculous","absurd","related","word","word",0.769056431328342
"voice","accent","related","word","word",0.44914610100131
"refuse","accept","related","word","word",0.583660362421915
"incident","accident","related","word","word",0.631125350630142
"escort","accompany","related","word","word",0.630246930489004
"complaint","accusation","related","word","word",0.458783130186421
"gesture","act","related","word","word",0.305815951349428
"trigger","activate","related","word","word",0.51828289969089
"active","activity","related","word","word",0.544325656866642
"author","actor","related","word","word",0.405272103538622
"extra","additional","related","word","word",0.573474666004963
"number","address","related","word","word",0.418242668574378
"management","administrative","related","word","word",0.527995050321197
"hormone","adrenaline","related","word","word",0.568549754128862
"advice","advise","related","word","word",0.540822556393448
"firm","agency","related","word","word",0.468627549632636
"contract","agreement","related","word","word",0.66715928998969
"terminal","airport","related","word","word",0.476352958041711
"alert","alarm","related","word","word",0.507431735213287
"motive","alibi","related","word","word",0.558725989164807
"ufo","alien","related","word","word",0.408397551901977
"corner","alley","related","word","word",0.506774501343967
"bravo","alpha","related","word","word",0.55159407829008
"impressive","amazing","related","word","word",0.630607162877927
"africa","america","related","word","word",0.528233127936665
"sum","amount","related","word","word",0.538584351497461
"autopsy","analysis","related","word","word",0.457883040558981
"jealous","angry","related","word","word",0.552747097174148
"beast","animal","related","word","word",0.58879158643761
"bee","ant","related","word","word",0.504424930142631
"house","apartment","related","word","word",0.688461110358184
"admire","appreciate","related","word","word",0.601250058261769
"permission","approval","related","word","word",0.597247056978179
"engineer","architect","related","word","word",0.605219429866958
"hand","arm","related","word","word",0.572595558632892
"shield","armor","related","word","word",0.562977195642746
"arsenal","armory","related","word","word",0.549470804951967
"legion","army","related","word","word",0.440576779744819
"round","around","related","word","word",0.590096654969804
"punish","arrest","related","word","word",0.377886696027936
"ignorance","arrogance","related","word","word",0.618950556357112
"vein","artery","related","word","word",0.620984142710126
"natural","artificial","related","word","word",0.486547591223095
"cavalry","artillery","related","word","word",0.606064891041725
"question","ask","related","word","word",0.559971952473626
"mercenary","assassin","related","word","word",0.468936390529136
"help","assist","related","word","word",0.601310558052706
"support","assistance","related","word","word",0.502623542599684
"secretary","assistant","related","word","word",0.585232816653774
"conclusion","assumption","related","word","word",0.445613285711911
"pacific","atlantic","related","word","word",0.731946801560162
"environment","atmosphere","related","word","word",0.587638973968251
"invasion","attack","related","word","word",0.564666206784969
"victim","attacker","related","word","word",0.563043077796574
"try","attempt","related","word","word",0.586404582228287
"opinion","attitude","related","word","word",0.398216164631282
"attention","attract","related","word","word",0.446378341989188
"crowd","audience","related","word","word",0.577308597013894
"jurisdiction","authority","related","word","word",0.552841314066875
"spring","autumn","related","word","word",0.661799522506813
"toast","bacon","related","word","word",0.427285970669101
"good","bad","related","word","word",0.719484015125847
"box","bag","related","word","word",0.598265524083829
"trap","bait","related","word","word",0.52760112235844
"orchestra","band","related","word","word",0.540667195311199
"club","bar","related","word","word",0.598859561246105
"stadium","baseball","related","word","word",0.418672877209333
"shower","bathroom","related","word","word",0.655676398060853
"superman","batman","related","word","word",0.694300670331197
"regiment","battalion","related","word","word",0.742048577324954
"war","battle","related","word","word",0.59179332910819
"arena","battlefield","related","word","word",0.4305205091742
"hair","beard","related","word","word",0.633336192259479
"pretty","beautiful","related","word","word",0.392833142816386
"charm","beauty","related","word","word",0.513780119657705
"sofa","bed","related","word","word",0.591540239525182
"room","bedroom","related","word","word",0.684741352916396
"drink","beer","related","word","word",0.65776696962484
"trust","believe","related","word","word",0.497164561734823
"million","billion","related","word","word",0.848476391701276
"chemical","biological","related","word","word",0.565618107998728
"chemistry","biology","related","word","word",0.723919378200978
"butterfly","bird","related","word","word",0.577183206330856
"anniversary","birthday","related","word","word",0.692294958839716
"white","black","related","word","word",0.830503530426691
"bribe","blackmail","related","word","word",0.531870769789198
"brown","blue","related","word","word",0.6049412886079
"submarine","boat","related","word","word",0.530646930283984
"bible","book","related","word","word",0.511250847198738
"manager","boss","related","word","word",0.516780478125321
"washington","boston","related","word","word",0.541811115590211
"glass","bottle","related","word","word",0.582726171999108
"top","bottom","related","word","word",0.618579508485081
"girl","boy","related","word","word",0.734353952929895
"noble","brave","related","word","word",0.514358018671248
"smash","break","related","word","word",0.534918396471777
"dinner","breakfast","related","word","word",0.68736835061321
"groom","bride","related","word","word",0.829068230312692
"shine","bright","related","word","word",0.539588316026618
"dude","bro","related","word","word",0.7448984684786
"sister","brother","related","word","word",0.76723488892897
"scratch","bruise","related","word","word",0.413702396469296
"construction","build","related","word","word",0.54370800564482
"tower","building","related","word","word",0.530382005110244
"caliber","bullet","related","word","word",0.4168700430996
"dig","bury","related","word","word",0.611054826697385
"train","bus","related","word","word",0.713431379398608
"industry","business","related","word","word",0.450651025503008
"ass","butt","related","word","word",0.803624569134948
"honey","butter","related","word","word",0.433463847286116
"seller","buyer","related","word","word",0.663861697160501
"hello","bye","related","word","word",0.554220452277238
"dessert","cake","related","word","word",0.625337812576163
"count","calculate","related","word","word",0.317770459379579
"quiet","calm","related","word","word",0.63823684690492
"picnic","camping","related","word","word",0.524948271759679
"tumor","cancer","related","word","word",0.611050609751314
"lamp","candle","related","word","word",0.626595629073084
"glasses","cap","related","word","word",0.443367919233266
"anarchy","capitalism","related","word","word",0.543061830462749
"commander","captain","related","word","word",0.653475817414031
"vehicle","car","related","word","word",0.7334208817757
"bishop","cardinal","related","word","word",0.534487890948378
"load","cargo","related","word","word",0.508134859271549
"floor","carpet","related","word","word",0.550509895648544
"mafia","cartel","related","word","word",0.523259478204963
"palace","castle","related","word","word",0.610541748311154
"dog","cat","related","word","word",0.7513527585394
"grab","catch","related","word","word",0.350035941880372
"reason","cause","related","word","word",0.432893248153346
"grave","cemetery","related","word","word",0.603195465847279
"mile","centimeter","related","word","word",0.397440955513433
"brain","cerebral","related","word","word",0.643728643649068
"ritual","ceremony","related","word","word",0.649347198523421
"table","chair","related","word","word",0.544248774408218
"obstacle","challenge","related","word","word",0.433267107145388
"wine","champagne","related","word","word",0.7074101719385
"competition","championship","related","word","word",0.554359046049573
"church","chapel","related","word","word",0.738190528933025
"attractive","charming","related","word","word",0.615354876864028
"follow","chase","related","word","word",0.426879732459239
"expensive","cheap","related","word","word",0.573119054390288
"lip","cheek","related","word","word",0.598974117498241
"bread","cheese","related","word","word",0.609897523211714
"cook","chef","related","word","word",0.594223800685507
"stomach","chest","related","word","word",0.571495893525735
"swallow","chew","related","word","word",0.544756181862654
"baby","child","related","word","word",0.641252732634339
"youth","childhood","related","word","word",0.489375732923071
"sugar","chocolate","related","word","word",0.567799184710351
"catholic","christian","related","word","word",0.665243000085029
"smoke","cigar","related","word","word",0.537919379805464
"tobacco","cigarette","related","word","word",0.577109046772578
"zoo","circus","related","word","word",0.575352295917416
"capital","city","related","word","word",0.475347606919261
"culture","civilization","related","word","word",0.601905484906379
"typical","classic","related","word","word",0.538421797323394
"patient","client","related","word","word",0.472100665327525
"hospital","clinic","related","word","word",0.698179636334589
"open","close","related","word","word",0.463316140116596
"locked","closed","related","word","word",0.490636198594734
