"word_id","first","original_pair","second","syll","original_freq","replacement_pair","replacement_syll","replacement_freq","freq_diff","char_diff","letter_diff","original_word","replacement_word"
105,"n ","n -au","au",1,1,"pe-au","pe",1,0,0,1,"-en aurrean","epeaurrean"
1,"rr","rr-i ","i ",1,1,"rr-ko","ko",1,0,0,1,"-en berri eman","en berrkoeman"
136,"ik","ik- k"," k",1,1,"ik-aw","aw",1,0,0,1,"-tik kanpo","tikawanpo"
758,"ai","ai-ld","ld",1,5,"ai-st","st",5,0,0,1,"abaildu","abaistu"
317,"ab","ab-eg","eg",1,10,"ll-eg","ll",10,0,0,1,"abegi","llegi"
248,"ok","ok-it","it",1,29,"ok-ol","ol",29,0,0,1,"aberats okitu","aberats okolu"
738,"ab","ab-es","es",1,57,"ab-ak","ak",57,0,0,1,"abeslari","abaklari"
39,"ab","ab-ok","ok",1,18,"nt-ok","nt",19,1,0,1,"abokatu","ntokatu"
867,"ur","ur-u","u",1,19,"ot-u","ot",19,0,0,1,"aburu","abotu"
927,"ad","ad-ar","ar",1,59,"ul-ar","ul",58,1,0,1,"adarra","ularra"
142,"ei","ei-ts","ts",1,7,"ia-ts","ia",7,0,0,1,"adeitsu","adiatsu"
323,"ad","ad-it","it",1,36,"ad-ua","ua",36,0,0,1,"aditu","aduau"
407,"ad","ad-mi","mi",1,28,"do-mi","do",28,0,0,1,"administrazio","doministrazio"
959,"os","os-last_blank","last_blank",1,48,"nt-last_blank","nt",48,0,0,1,"ados","adnt"
421,"af","af-ar","ar",1,31,"np-ar","np",31,0,0,1,"afari","npari"
52,"af","af-ri","ri",1,21,"bo-ri","bo",21,0,0,1,"afrika","borika"
213,"ag","ag-en","en",1,48,"rt-en","rt",48,0,0,1,"agente","rtente"
861,"ag","ag-ia","ia",1,9,"uz-ia","uz",9,0,0,1,"agian","uzian"
688,"du","du-last_blank","last_blank",1,105,"si-last_blank","si",109,4,0,1,"agindu","aginsi"
19,"ag","ag-ur","ur",1,36,"nd-ur","nd",37,1,0,1,"agur","ndur"
1000,"de","de-tu","tu",1,14,"de-po","po",14,0,0,1,"ahalbidetu","ahalbidepo"
783,"ah","ah-az","az",1,28,"ik-az","ik",28,0,0,1,"ahaztu","ikaztu"
751,"ah","ah-iz","iz",1,26,"na-iz","na",26,0,0,1,"ahizpa","naizpa"
883,"ah","ah-o","o",1,2,"lf-o","lf",2,0,0,1,"aho","lfo"
413,"ku","ku-last_blank","last_blank",1,38,"um-last_blank","um",38,0,0,1,"aholku","aholum"
112,"ot","ot-s","s",1,3,"ue-s","ue",3,0,0,1,"ahots","ahues"
200,"er","er-u","u",1,2,"pt-u","pt",2,0,0,1,"aingeru","aingptu"
743,"ng","ng-ur","ur",1,30,"il-ur","il",30,0,0,1,"aingura","aiilura"
29,"first_blank","first_blank-ai","ai",1,378,"first_blank-co","co",378,0,0,1,"aintza","contza"
793,"first_blank","first_blank-ai","ai",1,378,"first_blank-co","co",378,0,0,1,"aire","core"
731,"first_blank","first_blank-ai","ai",1,378,"first_blank-co","co",378,0,0,1,"aitatxo","cotatxo"
54,"ai","ai-to","to",1,39,"ai-zu","zu",39,0,0,1,"aitona","aizuna"
570,"ai","ai-to","to",1,39,"ai-zu","zu",39,0,0,1,"aitortu","aizurtu"
243,"ur","ur-tu","tu",1,39,"ur-ga","ga",39,0,0,1,"aitzurtu","aitzurga"
864,"al","al-ab","ab",1,51,"ir-ab","ir",51,0,0,1,"alaba","iraba"
292,"aj","aj-ei","ei",1,1,"zk-ei","zk",1,0,0,1,"alajeid","alzkeid"
258,"ar","ar-gu","gu",1,27,"ar-ot","ot",27,0,0,1,"alargun","alarotn"
7,"al","al-bu","bu",1,10,"al-ei","ei",10,0,0,1,"album","aleim"
315,"ik","ik-at","at",1,182,"ik-us","us",183,1,0,1,"aldarrikatu","aldarrikusu"
497,"de","de- e"," e",1,1,"de-fr","fr",1,0,0,1,"alde egin","aldefrgin"
533,"al","al-e","e",1,24,"ld-e","ld",24,0,0,1,"ale","lde"
226,"ho","ho-l","l",1,1,"nd-l","nd",1,0,0,1,"alkohol","alkondl"
557,"al","al-ko","ko",1,23,"al-me","me",23,0,0,1,"alkondara","almendara"
38,"al","al-ok","ok",1,30,"al-ta","ta",30,0,0,1,"alokatu","altaatu"
5,"al","al-tx","tx",1,33,"ku-tx","ku",33,0,0,1,"altxor","kutxor"
33,"am","am-a","a",1,19,"ek-a","ek",19,0,0,1,"ama","eka"
192,"first_blank","first_blank-am","am",1,471,"first_blank-ur","ur",471,0,0,1,"amai","urai"
53,"es","es-ga","ga",1,11,"gi-ga","gi",11,0,0,1,"amesgaizto","amgigaizto"
746,"an","an-ab","ab",1,4,"an-tr","tr",4,0,0,1,"anabasa","antrasa"
594,"ki","ki-a","a",1,60,"du-a","du",60,0,0,1,"anarkia","anardua"
840,"at","at-om","om",1,13,"at-ri","ri",13,0,0,1,"anatomia","anatriia"
457,"an","an-bu","bu",1,10,"za-bu","za",10,0,0,1,"anbulantzia","zabulantzia"
680,"dr","dr-e","e",1,9,"nn-e","nn",9,0,0,1,"andre","annne"
552,"an","an-ke","ke",1,17,"an-gu","gu",17,0,0,1,"anker","angur"
925,"ti","ti-do","do",1,3,"ee-do","ee",3,0,0,1,"antidoto","aneedoto"
60,"to","to-la","la",1,36,"pa-la","pa",36,0,0,1,"antolatu","anpalatu"
27,"tz","tz-ar","ar",1,231,"ri-ar","ri",234,3,0,1,"antzara","anriara"
209,"tz","tz-ek","ek",1,519,"tz-at","at",533,14,0,1,"antzeko","antzato"
666,"ap","ap-al","al",1,40,"tz-al","tz",40,0,0,1,"apal","tzal"
92,"ku","ku-last_blank","last_blank",1,38,"um-last_blank","um",38,0,0,1,"apezpiku","apezpium"
426,"ap","ap-ik","ik",1,4,"fb-ik","fb",4,0,0,1,"apikoz","fbikoz"
259,"ar","ar-last_blank","last_blank",1,239,"uz-last_blank","uz",198,41,0,1,"ar","uz"
107,"ak","ak-et","et",1,125,"en-et","en",123,2,0,1,"araketa","areneta"
878,"ar","ar-ao","ao",1,1,"ar-zu","zu",1,0,0,1,"arao","arzu"
837,"au","au-last_blank","last_blank",1,26,"ky-last_blank","ky",26,0,0,1,"arau","arky"
68,"az","az-o","o",1,4,"lt-o","lt",4,0,0,1,"arazo","arlto"
955,"ar","ar-do","do",1,30,"ar-ab","ab",30,0,0,1,"ardo","arab"
106,"ar","ar-er","er",1,15,"rd-er","rd",15,0,0,1,"arerio","rderio"
339," e"," e-ta","ta",1,1,"fs-ta","fs",1,0,0,1,"argi eta garbi","argifsta garbi"
551,"im","im-a","a",1,15,"pi-a","pi",15,0,0,1,"arima","arpia"
78,"gi","gi-last_blank","last_blank",1,90,"el-last_blank","el",90,0,0,1,"armategi","armateel"
521,"ar","ar-mi","mi",1,15,"ar-er","er",15,0,0,1,"armiarma","arerarma"
931," e"," e-gi","gi",1,1,"ts-gi","ts",1,0,0,1,"arraia egin","arraiatsgin"
822,"ka","ka-st","st",1,35,"du-st","du",35,0,0,1,"arrakasta","arradusta"
846,"ng","ng-ur","ur",1,30,"ng-ab","ab",30,0,0,1,"arrangura","arrangaba"
613,"zi","zi-st","st",1,13,"ba-st","ba",13,0,0,1,"arrazista","arrabasta"
