cue,target,cosine,fake_cue,fake_target
nahi,behar,0.581219441,naai,jehar
nahi,nahitaez,0.518351859,_ahi,nahitaxz
nahi,nahita,0.486425613,nihi,fahita
nahi,nahiko,0.485151394,éahi,nahikl
nahi,nahigabe,0.476082865,nahy,nahigabo
behar,beha,0.647893701,behaf,beaa
behar,nahi,0.581219441,lehar,nzhi
behar,ezbehar,0.535197843,behar,ezbehar
behar,beharrez,0.527262293,bchar,beharret
behar,beharreko,0.522427501,behaz,reharreko
nire,nere,0.526911806,bire,nfre
nire,grégoire,0.505287252,nlre,grégoirb
nire,hire,0.497286828,wire,hine
nire,niregan,0.484552741,nice,niregnn
nire,nirea,0.482601132,mire,nzrea
esan,esanahi,0.517883781,bsan,eswnahi
esan,esamesa,0.484535715,eskn,ezamesa
esan,dja,0.446358077,ésan,djl
esan,esazu,0.4334631,bsan,ecazu
esan,esateko,0.4324569,enan,etateko
nuen,genuen,0.608368025,nsen,genued
nuen,zenuen,0.601762411,nqen,menuen
nuen,nuela,0.536179898,nugn,nuema
nuen,nuenik,0.535668511,npen,duenik
nuen,nuenez,0.531195739,nzen,nueneh
bai,bapo,0.608359038,bsi,tapo
bai,bay,0.54949549,baq,eay
bai,bacon,0.509705331,bei,ñacon
bai,bayo,0.50235535,ban,baho
bai,barb,0.50191561,xai,bare
uste,ustel,0.477776295,usbe,ustet
uste,ustekabe,0.46039274,mste,ustekpbe
uste,ustezko,0.437194543,uspe,usteyko
uste,suposa,0.416071161,uute,suposk
uste,buruhauste,0.396358818,usto,buruuauste
joan,noan,0.478212311,joun,noaj
joan,joateko,0.474666775,jzan,jotteko
joan,doan,0.431280772,joon,doaa
joan,zoazte,0.396145792,ooan,zoczte
joan,psikiatra,0.380907479,joon,puikiatra
ikusi,ikusgai,0.589840859,ikumi,ikusnai
ikusi,ikusezin,0.549375688,ikubi,ikushzin
ikusi,ikuskatu,0.5350656,ikuwi,ikurkatu
ikusi,ikusmen,0.529667358,ieusi,bkusmen
ikusi,ikuste,0.528720634,ipusi,skuste
hitz,hitzegingo,0.709362482,hiuz,sitzegingo
hitz,hitzartu,0.547797696,kitz,hitzlrtu
hitz,hitzeman,0.54014421,hitz,hitzembn
hitz,hitzarmen,0.533152216,hitf,hirzarmen
hitz,hitzordu,0.50808306,hitz,hitzordl
dizut,dizudan,0.595837345,dizdt,dszudan
dizut,dizudanik,0.585432983,dizul,dizndanik
dizut,dizutena,0.553471813,dizuk,dszutena
dizut,dizudalako,0.550631757,dicut,dizudalaky
dizut,dizudanean,0.54612414,bizut,dizudanean
ezta,eztul,0.409894429,mzta,ezlul
ezta,eztanda,0.378599576,kzta,uztanda
ezta,ezti,0.377553529,zzta,esti
ezta,cedric,0.348999777,eztu,cewric
ezta,slappy,0.339310854,eztw,slpppy
eman,emankor,0.589973262,rman,emankod
eman,freeman,0.58123587,eran,oreeman
eman,emate,0.576412329,nman,ematf
eman,email,0.521857522,èman,emnil
eman,coleman,0.494847337,euan,cokeman
egon,egoteko,0.487035717,epon,egoteyo
egon,egongela,0.471026661,egkn,egondela
egon,egonkor,0.443433734,egin,egvnkor
egon,egonaldi,0.419978664,égon,egonaddi
egon,egosi,0.416349354,egoe,egosc
ezin,ezinik,0.578196324,gzin,ezbnik
ezin,ezinezko,0.533099284,ezio,ezigezko
ezin,jasanezin,0.429209976,eziy,jaslnezin
ezin,ikusezin,0.402991517,eoin,ikusezcn
ezin,muzin,0.399542165,ezen,muzix
orain,oraingo,0.619483642,orarn,ozaingo
orain,oraintsu,0.608295166,ornin,wraintsu
orain,oraingoz,0.605822871,omain,orabngoz
orain,oraintxe,0.593688029,oraiw,obaintxe
orain,oraindikan,0.499754172,orxin,oraindykan
ezer,ezeri,0.605023919,ezeb,eteri
ezer,ezerri,0.539772215,eher,ezerli
ezer,deus,0.509383112,ezkr,djus
ezer,ezertan,0.473487166,ewer,rzertan
ezer,inolaz,0.401829007,rzer,mnolaz
oso,osoki,0.486155027,obo,osvki
oso,mafioso,0.417157006,oco,mawioso
oso,deseroso,0.409620247,wso,deserosn
oso,uso,0.386217098,osb,uho
oso,juuso,0.377669291,oso,jsuso
hil,hilkor,0.612415523,lil,oilkor
hil,hilotz,0.591621016,hit,hilotx
hil,hilik,0.570243568,hio,hicik
hil,hile,0.551103659,hiy,uile
hil,hilda,0.539863408,zil,hidda
gehiago,gutxiago,0.566831828,geriago,gutxiato
gehiago,gehio,0.515651757,vehiago,gehno
gehiago,zhivago,0.497722819,gefiago,bhivago
gehiago,geroxeago,0.472616,gehkago,geroxezgo
gehiago,gertuago,0.470584449,gehiaio,gfrtuago
nago,nagoen,0.603192101,wago,ndgoen
nago,nagoenik,0.550194091,naso,nwgoenik
nago,nagoelako,0.535789423,nagb,nagoelaio
nago,nagoenez,0.527197361,nano,nagoinez
nago,zhivago,0.513223603,nggo,zgivago
bakarrik,bakar,0.601592862,bakarrin,bagar
bakarrik,bakarraz,0.598861542,bukarrik,bakkrraz
bakarrik,bakarka,0.594396421,bakfrrik,badarka
bakarrik,bakartu,0.529840309,bakarriw,eakartu
bakarrik,bakarti,0.528199659,bakarrok,bakartj
