"cue","target","cosine","fake_cue","fake_target"
"gjøre","gjöre",0.635132304319351,"sjøre","gjöbe"
"gjøre","gjore",0.621298896753814,"gjøae","gjorn"
"gjøre","gjřre",0.539551669677836,"gjørv","gjřre"
"gjøre","gjãre",0.499551458156066,"gjære","gjãre"
"gjøre","gjennomføre",0.495292200261111,"gjure","gjennomfére"
"alt","allting",0.54426325257689,"act","alltiwg"
"alt","ait",0.502173222590607,"alo","kit"
"alt","ting",0.466591039229158,"alø","tizg"
"alt","ugjort",0.391406893523104,"alν","ugjorx"
"alt","noenting",0.387668785720261,"mlt","ooenting"
"igjen","endelig",0.368209206645487,"igjan","endelio"
"igjen","ugjort",0.365992757564031,"igjen","ugjmrt"
"igjen","gang",0.361573278174648,"pgjen","gång"
"igjen","likevel",0.360765498569473,"tgjen","likeåel"
"igjen","skygg",0.358540197724602,"igten","tkygg"
"aldri","alltid",0.527616026687722,"dldri","alltiw"
"aldri","noengang",0.511624515148149,"aldrn","noengyng"
"aldri","aidri",0.503542759773838,"zldri","addri"
"aldri","noensinne",0.47431047471922,"aldsi","noezsinne"
"aldri","ofte",0.418198699956405,"ildri","ofce"
"litt","smule",0.581204251821938,"litt","smule"
"litt","grann",0.389868065517463,"lttt","grinn"
"litt","matbit",0.389612288708287,"lixt","matfit"
"litt","kanskje",0.38508536027093,"lidt","klnskje"
"litt","skikkelig",0.37544207317796,"liot","skikkelih"
"nok","vel",0.56763159875784,"noi","vej"
"nok","kanskje",0.557565407457513,"ngk","hanskje"
"nok","antakelig",0.453941557553583,"vok","antakevig"
"nok","tilstrekkelig",0.429952042478412,"nob","tilstrekkeliå"
"nok","antakeligvis",0.428847814279038,"nøk","antakeligvis"
"sammen","alene",0.383324244844549,"sammeg","alete"
"sammen","hygge",0.368150542074066,"sammez","hpgge"
"sammen","krangle",0.354124467276809,"ssmmen","kaangle"
"sammen","separat",0.352711735453791,"sammen","separnt"
"sammen","datet",0.348014408084722,"saamen","eatet"
"vel","kanskje",0.611957932956283,"vul","kansgje"
"vel","nok",0.56763159875784,"vol","nrk"
"vel","selvsagt",0.509564558616434,"åel","selvsant"
"vel","selvfølgelig",0.486956404209051,"vhl","selvfølgelpg"
"vel","tydeligvis",0.46044845131343,"veo","tydeνigvis"
"dag","kveld",0.656403688473766,"drg","iveld"
"dag","ettermiddag",0.613087799860652,"dhg","ettermiddvg"
"dag","morgen",0.577279644380403,"dag","morgcn"
"dag","idag",0.550284611934173,"dpg","ioag"
"dag","morges",0.549359134318987,"døg","zorges"
"komme","dra",0.515110292033057,"kojme","døa"
"komme","skynde",0.487429070803773,"kimme","lkynde"
"komme","slippe",0.447121163003511,"kompe","slippb"
"komme","flytte",0.439944796713427,"komje","flyyte"
"komme","trekke",0.435872020595901,"kovme","toekke"
"mann","kvinne",0.66565392971,"magn","nvinne"
"mann","person",0.550467224441552,"kann","peison"
"mann","kar",0.514417382394252,"makn","var"
"mann","fyr",0.511658819712057,"mrnn","fær"
"mann","franskmann",0.495476605456221,"magn","fyanskmann"
"kanskje","vel",0.611957932956283,"kinskje","vel"
"kanskje","nok",0.557565407457513,"kanskze","nik"
"kanskje","sannsynligvis",0.502253322464408,"kansuje","sannsyfligvis"
"kanskje","antakeligvis",0.489556966432465,"kanskoe","mntakeligvis"
"kanskje","antakelig",0.487313581154583,"oanskje","anaakelig"
"alltid","bestandig",0.639193254421322,"llltid","besaandig"
"alltid","aldri",0.527616026687722,"alluid","mldri"
"alltid","aiitid",0.500684008355552,"nlltid","aiitié"
"alltid","ofte",0.47301318791761,"alllid","ofåe"
"alltid","allting",0.458444678888121,"aldtid","allving"
"snakke","prate",0.78661783427602,"syakke","praue"
"snakke","snakk",0.563621374650108,"snaske","snékk"
"snakke","diskutere",0.562578150682906,"snzkke","diskutkre"
"snakke","prat",0.488880631343807,"snakae","prpt"
"snakke","spørre",0.474176301586338,"snamke","spøtre"
"finne","lokalisere",0.456314957195627,"finbe","lokaljsere"
"finne","skaffe",0.432541873132171,"fgnne","ökaffe"
"finne","finnes",0.429247681758472,"kinne","finneν"
"finne","lete",0.427525242734076,"kinne","lyte"
"finne","oppspore",0.420207153498871,"fiine","oppsporc"
"helt","fullstendig",0.596044926538033,"lelt","fullstenzig"
"helt","heit",0.49022056840264,"heht","heiy"
"helt","holdent",0.45925804566736,"oelt","soldent"
"helt","aldeles",0.397293804255868,"hest","agdeles"
"helt","ganske",0.37079126148855,"gelt","ganswe"
"gang","noensinne",0.493820129230636,"geng","noensiine"
"gang","noengang",0.479099840153167,"aang","noengang"
"gang","igang",0.453435961833669,"gany","igrng"
"gang","aldri",0.405853208641067,"hang","aldrh"
"gang","igjen",0.361573278174648,"gani","igjex"
"ting","småting",0.586552520753198,"tzng","svåting"
"ting","alt",0.466591039229158,"zing","alå"
"ting","noenting",0.404466756174672,"tisg","noentibg"
"ting","ugjort",0.372032132491894,"tgng","ugjort"
"ting","vaner",0.369617549601188,"tiég","vancr"
"veldig","ganske",0.663759306949199,"velnig","ganwke"
"veldig","altfor",0.560630133798006,"vjldig","althor"
"veldig","temmelig",0.545745794204986,"veldrg","temåelig"
"veldig","jævlig",0.513395534638203,"veydig","sævlig"
"veldig","særlig",0.503727988679587,"velkig","sfrlig"
"kveld","dag",0.656403688473766,"kvild","dat"
"kveld","ikveld",0.65459089323571,"mveld","ikveld"
"kveld","ettermiddag",0.603875591188105,"kvgld","ettermivdag"
"kveld","morgen",0.573200021279455,"kvela","moogen"
"kveld","formiddag",0.550674537791014,"kveæd","fobmiddag"
"virkelig","uvirkelig",0.636170497286612,"viåkelig","uvilkelig"
"virkelig","skikkelig",0.486771731738366,"øirkelig","skikkesig"
"virkelig","virkelighet",0.459645185860559,"νirkelig","virfelighet"
"virkelig","uskikkelig",0.438272271340661,"virkeliø","uskikkolig"
"virkelig","virkeiig",0.423141225125683,"virketig","virkeiig"
"hjelpe","hjelp",0.525172216523735,"hjelte","hjeap"
"hjelpe","hjeipe",0.484708769442545,"hjelpf","tjeipe"
"hjelpe","bistå",0.461144826604963,"hjrlpe","distå"
"hjelpe","samarbeide",0.447058319891545,"hjflpe","samarbefde"
"hjelpe","bidra",0.445714189301964,"hjelse","bidræ"
"dra","reise",0.544522553960553,"dua","reice"
"dra","komme",0.515110292033057,"dea","kpmme"
"dra","drog",0.458183016818294,"dea","déog"
"dra","begi",0.454238240369248,"dva","bezi"
"dra","flytte",0.449630766655424,"dpa","flytte"
"død","bortgang",0.448881116947265,"død","bortmang"
"død","dødsfall",0.447133991214174,"sød","dødsftll"
"død","dod",0.424773222646624,"døu","uod"
"død","bevisstløs",0.387402179515969,"djd","bevissyløs"
"død","dør",0.360582195050278,"fød","dvr"
"drepe","myrde",0.579522766362623,"dreme","myrze"
"drepe","drep",0.538898366201769,"ćrepe","drxp"
"drepe","skyte",0.528928419499747,"deepe","skfte"
"drepe","kverke",0.516129176022644,"drvpe","køerke"
"drepe","voldta",0.497290201057091,"drøpe","voldtf"
"akkurat","nettopp",0.61978819934792,"kkkurat","netnopp"
"akkurat","nøyaktig",0.386717940655915,"rkkurat","nøyuktig"
"akkurat","omtrent",0.353025720209546,"aukurat","omtreot"
"akkurat","nylig",0.336710049225655,"økkurat","eylig"
"akkurat","morges",0.308965779197392,"akkucat","morgec"
"barn","småbarn",0.608770373476377,"bahn","småbaré"
"barn","barnebarn",0.600408949058137,"batn","barneparn"
"barn","spedbarn",0.511815824544089,"garn","spndbarn"
"barn","barne",0.488307660690407,"sarn","νarne"
"barn","søskenbarn",0.458145437167945,"babn","søshenbarn"
"tre","sju",0.493273438950348,"tge","sja"
"tre","åtte",0.492352386015916,"trø","xtte"
"tre","fjorten",0.415947826939089,"tbe","fjouten"
"tre","tretten",0.413844753438827,"tve","trettyn"
"tre","seksti",0.408999401423932,"ere","xeksti"
"feil","feii",0.555798166555436,"veil","åeii"
"feil","tabbe",0.537178485560699,"ieil","tabbg"
"feil","feiltakelse",0.534095195365057,"fril","fetltakelse"
"feil","feilgrep",0.533380370519455,"seil","feipgrep"
"feil","feile",0.494137054704984,"feml","feilh"
"far","mor",0.749379218029267,"fak","moo"
"far","farfar",0.602893477798444,"car","warfar"
"far","morfar",0.569309910164433,"fær","mogfar"
"far","farmor",0.545980903654213,"ear","falmor"
"far","stefar",0.540601684199001,"fap","stefaz"
"sted","gjemmested",0.55506327140121,"éted","gjommested"
"sted","skjulested",0.490651208676315,"seed","skjulssted"
"sted","møtested",0.490419673655684,"stod","mntested"
"sted","tidspunkt",0.470424823979127,"sted","tfdspunkt"
"sted","åsted",0.456817520629218,"tted","osted"
"elsker","elske",0.65050491776479,"ezsker","elsøe"
"elsker","elsk",0.457738459364619,"dlsker","eløk"
"elsker","hate",0.450831722200278,"edsker","tate"
"elsker","forgude",0.418086092900498,"clsker","forgpde"
"elsker","savne",0.414059868512242,"elaker","lavne"
"fortelle","forklare",0.551968461575748,"lortelle","fohklare"
"fortelle","spørre",0.50998873854563,"portelle","spøvre"
"fortelle","forteiie",0.497013440926361,"fortelce","fortepie"
"fortelle","fortelling",0.49294830360312,"fortellc","fortllling"
"fortelle","forte",0.446625411754,"jortelle","aorte"
"hei","heisann",0.589222752694911,"eei","geisann"
"hei","hey",0.479424799687506,"hel","hep"
"hei","herregud",0.434538474918225,"hex","hcrregud"
"hei","heil",0.431443655083221,"hew","heif"
"hei","ålreit",0.427032188291474,"hsi","ålrevt"
"første","fjerde",0.450047961588386,"nørste","njerde"
"første","femte",0.447282069400927,"første","femae"
"første","førstefødt",0.440312677280502,"kørste","førhtefødt"
"første","førstemann",0.433189493063697,"fjrste","føistemann"
"første","tredje",0.432219565168514,"førsåe","trebje"
"vei","bakvei",0.422233590140935,"rei","bakgei"
"vei","veg",0.41497247010864,"cei","vel"
"vei","hovedvei",0.414849496944376,"vvi","hovedvpi"
"vei","retning",0.370745660470114,"veg","retnirg"
"vei","snarvei",0.361870619028121,"vel","snarveo"
"fortsatt","fremdeles",0.877835772159421,"forttatt","frendeles"
"fortsatt","ennå",0.607281407296922,"forthatt","ennå"
"fortsatt","virkelig",0.393001879632097,"fottsatt","vyrkelig"
"fortsatt","stadig",0.369584005224187,"fortsamt","staøig"
"fortsatt","likevel",0.33739704277291,"fortsatd","lijevel"
"hit","dit",0.657457233713954,"νit","dik"
"hit","derfra",0.397084411672601,"håt","ddrfra"
"hit","herfra",0.345060530292662,"het","cerfra"
"hit","tomhendt",0.327109917956291,"hgt","momhendt"
"hit","brakte",0.323141756649732,"hib","brakto"
"holde","hold",0.586956314148698,"holdu","hkld"
"holde","hoide",0.513645973830733,"holdz","hofde"
"holde","hoid",0.472850307350793,"oolde","hrid"
"holde","beholde",0.448821463825512,"solde","behklde"
"holde","forholde",0.437191681302667,"eolde","forfolde"
"lenge","årevis",0.478323794716428,"lnnge","åfevis"
"lenge","stund",0.475465343007245,"lengd","stuni"
"lenge","månedsvis",0.416577290299858,"leege","månedgvis"
"lenge","ukevis",0.396176166167789,"lenwe","ukevis"
"lenge","slenge",0.387362273825355,"lenle","slenge"
"høre","lytte",0.505874306376171,"søre","lytwe"
"høre","overhøre",0.47481105353462,"hrre","overhørv"
"høre","lytt",0.435435842140104,"hlre","lmtt"
"høre","fortelle",0.428317481127879,"hmre","fortexle"
"høre","snakke",0.395766169055788,"køre","snvkke"
"tro","tvile",0.513077443067766,"tro","tvire"
"tro","anta",0.49384326664868,"äro","nnta"
"tro","stole",0.425463505430278,"wro","støle"
"tro","mistenke",0.420996545030666,"iro","xistenke"
"tro","mistro",0.41663773687133,"trj","åistro"
"morgen","morgendag",0.672922529191316,"morgeo","morgendtg"
"morgen","morgengry",0.615087759922231,"morgeå","morgengrg"
"morgen","dag",0.577279644380403,"morgen","dhg"
"morgen","kveld",0.573200021279455,"korgen","rveld"
"morgen","ettermiddag",0.551938282046434,"morgei","etterbiddag"
"verden","omverden",0.580480622025717,"veréen","omveøden"
"verden","underverden",0.560718451176091,"velden","underveyden"
"verden","verdensrom",0.513738017205252,"serden","verdbnsrom"
"verden","menneskehet",0.456987161343198,"veåden","mwnneskehet"
"verden","klode",0.430616159401387,"verdea","nlode"
"venn","venninne",0.541443790403885,"venn","jenninne"
"venn","kollega",0.511883859728454,"veun","kolnega"
"venn","uvenn",0.495391527808543,"jenn","uvpnn"
"venn","kamerat",0.47629159910564,"veen","kamerau"
"venn","romkamerat",0.464449095285993,"vrnn","romkamerac"
"hatt","hasmukh",0.322454526543172,"haut","hasmuyh"
"hatt","smakt",0.319694669845676,"jatt","smake"
"hatt","temperament",0.310199266804095,"hitt","tempermment"
