"cue","target","cosine","fake_cue","fake_target"
"torej","kakorkoli",0.657253088090426,"torpj","kakgrkoli"
"torej","hej",0.585827344551318,"toruj","het"
"torej","mimogrede",0.572242627836076,"toree","mimogreže"
"torej","zatorej",0.569703413398174,"todej","zatjrej"
"torej","okej",0.535618850270508,"eorej","okel"
"zato","zatorej",0.43004062151431,"zato","zaborej"
"zato","vseeno",0.42028001214168,"zato","vseeeo"
"zato","zaenkrat",0.385487264224984,"žato","zajnkrat"
"zato","misleč",0.365872210199802,"eato","mdsleč"
"zato","očitno",0.358996183134563,"zkto","očitwo"
"rad","rada",0.652268563873668,"bad","radd"
"rad","najraje",0.477001993755506,"yad","nagraje"
"rad","raje",0.448953930252902,"rak","vaje"
"rad","ponosen",0.347214226392178,"had","pongsen"
"rad","hvaležen",0.328602428552307,"rau","hvalezen"
"všeč","všec",0.716113489465321,"jšeč","všbc"
"všeč","vsec",0.618949433918836,"mšeč","vseg"
"všeč","ugajati",0.474385493886413,"vneč","uggjati"
"všeč","dopasti",0.445448445954799,"dšeč","dopalti"
"všeč","privlačen",0.436487006264108,"všex","privlahen"
"skupaj","narazen",0.501493268434224,"skueaj","nalazen"
"skupaj","združiti",0.405588305701138,"skupal","ziružiti"
"skupaj","sprti",0.392415328680991,"sgupaj","sprtl"
"skupaj","skupno",0.389732858170761,"sktpaj","rkupno"
"skupaj","združen",0.356942069003816,"skušaj","zdrupen"
"ven","noter",0.672147321422764,"veb","nrter"
"ven","domov",0.459940534905733,"veo","domlv"
"ven","izstopiti",0.383657474786852,"vem","izstfpiti"
"ven","kino",0.382478737798493,"šen","kfno"
"ven","izvleči",0.379697685347041,"vef","izyleči"
"videti","izgledati",0.679385977707725,"vidsti","izglfdati"
"videti","zgledati",0.672865690994708,"videti","zpledati"
"videti","uvideti",0.592815101470463,"vmdeti","ovideti"
"videti","slišati",0.576738809343158,"vijeti","slioati"
"videti","prideti",0.52189880800289,"vidčti","pridetv"
"življenje","zivljenje",0.688335623762258,"življenjs","zčvljenje"
"življenje","živijenje",0.572718274202297,"živpjenje","živijtnje"
"življenje","otroštvo",0.497453097100145,"življenje","ooroštvo"
"življenje","življenjski",0.477287130213908,"življžnje","tivljenjski"
"življenje","trpljenje",0.466903132944762,"življenje","trpljenjj"
"čas","cas",0.668652840602045,"čfs","cčs"
"čas","odmor",0.421568913756874,"čax","tdmor"
"čas","prostor",0.410913924182795,"ias","nrostor"
"čas","prepozno",0.39627059984443,"čav","prepozng"
"čas","premor",0.386810411647334,"čcs","premvr"
"človek","čovek",0.688930067342179,"jlovek","čnvek"
"človek","clovek",0.645165300174955,"človdk","clovrk"
"človek","čiovek",0.574687364462639,"jlovek","čioveb"
"človek","možakar",0.564876182989902,"človek","motakar"
"človek","tip",0.542140487310765,"elovek","tii"
"denar","drobiž",0.493947883775586,"denrr","drbbiž"
"denar","zaslužek",0.4844510475078,"deoar","zaslužek"
"denar","ček",0.453432364008113,"genar","fek"
"denar","dobiček",0.434861059717748,"dbnar","dobirek"
"denar","polog",0.429826486428576,"denaz","poeog"
"treba","morati",0.438064955452839,"šreba","lorati"
"treba","nepotrebno",0.423376772433565,"creba","nepotrebnf"
"treba","potreba",0.415963959086168,"tneba","potrebn"
"treba","važno",0.400126940744527,"tršba","vežno"
"treba","pametno",0.399641541557386,"tzeba","payetno"
"hej","hey",0.699646615896676,"mej","hby"
"hej","torej",0.585827344551318,"tej","horej"
"hej","čakaj",0.56017964629403,"hkj","bakaj"
"hej","hoj",0.52717604531641,"hyj","uoj"
"hej","glej",0.526127926994898,"hee","nlej"
"domov","ven",0.459940534905733,"čomov","vin"
"domov","naspati",0.399773262210765,"domfv","nmspati"
"domov","pozno",0.387403953914253,"šomov","sozno"
"domov","doma",0.385879634118206,"dombv","koma"
"domov","letališče",0.381566839868909,"domok","letalgšče"
"povedati","vedati",0.681221839171624,"povedadi","vedari"
"povedati","dopovedati",0.631137644749511,"povedatu","dopovčdati"
"povedati","sporočiti",0.619970439096981,"puvedati","sporočiži"
"povedati","povedeti",0.589379109186095,"tovedati","povejeti"
"povedati","pokazati",0.575439474893407,"povedati","pokazatn"
"naprej","dalje",0.733779776294502,"narrej","daljj"
"naprej","vztrajno",0.41470972500505,"oaprej","vftrajno"
