"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"~ 할 수있게하다과장하다","~ 할 수있게하다","과장하다","unrelated","word","word",NA,NA,NA,NA,NA,NA
"~ 할 수있게하다깨어하다","~ 할 수있게하다","깨어하다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"~ 할 수있게하다제공하다","~ 할 수있게하다","제공하다","related","word","word",NA,NA,NA,NA,NA,NA
"ag의올려한","ag의","올려한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ag의추정","ag의","추정","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ca한래블","ca한","래블","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ca한편지","ca한","편지","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"de하는공항","de하는","공항","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"de하는비싸만한","de하는","비싸만한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"dn폴락빙글","dn폴락","빙글","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"dn폴락지속적으로","dn폴락","지속적으로","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ev원cl자","ev원","cl자","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ev원유명한","ev원","유명한","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"hy아침","hy","아침","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"hy할껀","hy","할껀","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ib교류스","ib","교류스","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ib나쁜","ib","나쁜","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"il 사람옮기다","il 사람","옮기다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"il 사람하더","il 사람","하더","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"i다노프","i다","노프","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"i다성","i다","성","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"i와생물","i와","생물","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"i와폼에","i와","폼에","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"kj거울","kj","거울","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"kj렀죠","kj","렀죠","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ko 차별 주의자녹음","ko 차별 주의자","녹음","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ko 차별 주의자록우한","ko 차별 주의자","록우한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
