"word_combo","cs_cue","cs_target","type","cue_type","target_type","cs_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"absochvalněbibsy","absochvalně","bibsy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"absochvalněexterní","absochvalně","externí","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"absolutněokrást","absolutně","okrást","unrelated","word","word",0.101146167647047,-0.279788706238438,0.341911295398251,0.197402578437154,3,FALSE
"absolutněprůtě","absolutně","průtě","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"absolutnězcela","absolutně","zcela","related","word","word",0.593528008634948,-0.704415624242023,0.352903984839775,0.12477040039398,8,FALSE
"afrikaamerika","afrika","amerika","related","word","word",0.623935567058892,-0.877777623157226,0.344472101217622,0.19888106036631,3,FALSE
"afrikahenus","afrika","henus","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"afrikapřitahovat","afrika","přitahovat","unrelated","word","word",0.0942095367780848,-0.22168583384905,0.326459713593799,0.188481603522948,3,FALSE
"agenginálnáhrvštěvník","agenginál","náhrvštěvník","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"agenginálulice","agenginál","ulice","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"agentdetektiv","agent","detektiv","related","word","word",0.52313960273812,0.233072986017363,1.56616697475933,0.700411163935413,5,FALSE
"agentpobre","agent","pobre","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"agentzápadní","agent","západní","unrelated","word","word",0.0764034957115673,0.595708032100811,NA,NA,1,FALSE
"agsarpoděkomiksy","agsar","poděkomiksy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"agsarrodina","agsar","rodina","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ahcádveře","ahcá","dveře","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ahcápolešení","ahcá","polešení","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ahojna shledanou","ahoj","na shledanou","related","word","word",NA,-0.573557197840364,NA,NA,1,FALSE
"ahojpodpír","ahoj","podpír","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ahojústava","ahoj","ústava","unrelated","word","word",0.0620076728048068,-0.0819175696172866,1.71871941074092,0.768634687333017,5,FALSE
"aičoobskvělý","aičo","obskvělý","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aičoparanormální","aičo","paranormální","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"aidshiv","aids","hiv","related","word","word",0.686343399288292,-0.219982211036492,0.759232622522932,0.536858535884011,2,FALSE
"aidsrestaurace","aids","restaurace","unrelated","word","word",0.10444859325506,0.947015323345625,1.83631202991038,1.06019524478491,3,FALSE
"aidsúchvatní","aids","úchvatní","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"akcentnírychle","akcentní","rychle","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"akcentníukába","akcentní","ukába","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aktefekně","akt","efekně","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"aktintuice","akt","intuice","unrelated","word","word",0.0850608103057864,NA,NA,NA,NA,NA
"aktivníaktivita","aktivní","aktivita","related","word","word",0.428449205333352,-0.725191553719268,0.372684507154459,0.263527742252084,2,FALSE
"aktivnífax","aktivní","fax","unrelated","word","word",0.133965083482972,-0.417147947614876,0.247987927208454,0.143175896529578,3,FALSE
"aktivnítýzím","aktivní","týzím","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"aktnahý","akt","nahý","related","word","word",0.218021688211142,0.279291187372738,1.46861308539876,1.03846627162476,2,FALSE
"aktovkakufr","aktovka","kufr","related","word","word",0.43049205925736,NA,NA,NA,NA,NA
"aktovkalet","aktovka","let","unrelated","word","word",0.135761375479733,0.110093182243157,NA,NA,1,FALSE
"aktovkanáhrvštěvník","aktovka","náhrvštěvník","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"akzpackaněraj","akzpacka","něraj","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"akzpackasvítání","akzpacka","svítání","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"albummetr","album","metr","unrelated","word","word",0.119018860312572,-0.385089515674583,0.291898526466816,0.168527692831671,3,FALSE
"albumneura","album","neura","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"albumpíseň","album","píseň","related","word","word",0.431163055513206,-0.254805894273953,0.316929070257,0.224102694733872,2,FALSE
"alerkakrása","alerka","krása","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"alerkaonarm","alerka","onarm","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aljahexplostřední","aljah","explostřední","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aljahstřela","aljah","střela","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"alkobýchdokument","alkobých","dokument","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"alkobýchhloupoté","alkobých","hloupoté","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"alkoholcigaplachta","alkohol","cigaplachta","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"alkohollék","alkohol","lék","related","word","word",0.376765957962417,-0.847085345924834,0.076667156530473,0.0383335782652365,4,FALSE
"alkoholšťastný","alkohol","šťastný","unrelated","word","word",0.0647084632875282,NA,NA,NA,NA,NA
"amatérpředrosta","amatér","předrosta","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"amatérprofesionální","amatér","profesionální","related","word","word",0.399244790213959,NA,NA,NA,NA,NA
"amatérzadní","amatér","zadní","unrelated","word","word",0.0446026716419352,-0.43783443666649,0.868509152641448,0.61412871135535,2,FALSE
"ambasádaformo","ambasáda","formo","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ambasádaharmonie","ambasáda","harmonie","unrelated","word","word",0.125923056911184,-0.218687992168129,0.418338058729282,0.187086467378795,5,FALSE
"ambasádaministerstvo","ambasáda","ministerstvo","related","word","word",0.409834711191103,-0.567233193340207,0.298630220278201,0.211163453825949,2,FALSE
"analytikaktivovat","analytik","aktivovat","unrelated","word","word",0.123148779674364,-0.47959486399996,0.330284796292601,0.147707851288985,5,FALSE
"analytikfekce","analytik","fekce","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"analytikvyšetřovatel","analytik","vyšetřovatel","related","word","word",0.553925924551864,-0.551130015207618,0.199610757856166,0.141146120477881,2,FALSE
"anarchiekapitalismus","anarchie","kapitalismus","related","word","word",0.424172407868477,-0.377992830256023,0.396700790232523,0.229035308028484,3,FALSE
"anarchieminument","anarchie","minument","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"anarchieskříň","anarchie","skříň","unrelated","word","word",0.107234578557784,-0.508389948876663,0.718340638401427,0.414734160950911,3,FALSE
"anatokrátchronice","anatokrát","chronice","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"anatokrátkyslík","anatokrát","kyslík","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"anatomiepsychologie","anatomie","psychologie","related","word","word",0.593646479304363,-0.429430953172153,0.531926111636892,0.237884588925447,5,FALSE
"anatomiestátce","anatomie","státce","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"anatomievyšetřovat","anatomie","vyšetřovat","unrelated","word","word",0.123302301067206,1.05256592860237,1.49595955889366,1.05780314847454,2,FALSE
"andělbaseball","anděl","baseball","unrelated","word","word",0.0107257213310796,1.44078550206473,1.86406981484933,1.07622120939152,3,FALSE
"andělďábel","anděl","ďábel","related","word","word",0.606649921770674,-0.299030451729358,0.194550671340597,0.0972753356702983,4,FALSE
"andělotír","anděl","otír","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"angličtinadůstaura","angličtina","důstaura","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"angličtinafrancouzština","angličtina","francouzština","related","word","word",0.777796821678491,-0.721594889832819,0.297383602988627,0.210281962286946,2,FALSE
"angličtinasnížit","angličtina","snížit","unrelated","word","word",0.136361947382668,-0.479582101804508,0.472192765963113,0.33389070683975,2,FALSE
"anonymníneznámý","anonymní","neznámý","related","word","word",0.288934971794715,-0.773676143575806,0.277651058286744,0.160301913242636,3,FALSE
"anonymníoddatech","anonymní","oddatech","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"anonymnísvědectví","anonymní","svědectví","unrelated","word","word",0.119123810912808,-0.879620553741412,0.13798100092922,0.0975673014319586,2,FALSE
"anopulsnífalýchní","anopulsní","falýchní","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"anopulsníjaderný","anopulsní","jaderný","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"anšitchránice","anšit","chránice","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"anšitpozoruhodný","anšit","pozoruhodný","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"antarknafít","antarkna","fít","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"antarknakočka","antarkna","kočka","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"aparytyautovzkvéta","aparyty","autovzkvéta","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aparytytvář","aparyty","tvář","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"aplikovathřbitov","aplikovat","hřbitov","unrelated","word","word",0.0300255531908076,-0.659739338311163,NA,NA,1,FALSE
"aplikovatpoužití","aplikovat","použití","related","word","word",0.327411796566847,-0.395613003806499,0.402867645956454,0.23259574384075,3,FALSE
"aplikovatvinaj","aplikovat","vinaj","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"arénabojiště","aréna","bojiště","related","word","word",0.299765268606892,-0.698581908890794,NA,NA,1,FALSE
"arénaboto","aréna","boto","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"arénaučit","aréna","učit","unrelated","word","word",0.100828644101439,-0.587001458244358,0.0698958742726548,0.0312583852440869,5,FALSE
"arteblémfipoutní","arteblém","fipoutní","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"arteblémspecialista","arteblém","specialista","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"artefaktchladný","artefakt","chladný","unrelated","word","word",0.103451105673443,0.12474565796012,1.11076927855762,0.785432489201782,2,FALSE
"artefaktmedailon","artefakt","medailon","related","word","word",0.465454716356939,-0.633652808469312,0.227488056304919,0.160858347252155,2,FALSE
"artefaktquinnout","artefakt","quinnout","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"arzenálabsolvovat","arzenál","absolvovat","unrelated","word","word",0.0564205135657135,NA,NA,NA,NA,NA
"arzenáldězíš","arzenál","dězíš","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"arzenálzbrojnice","arzenál","zbrojnice","related","word","word",0.348907569273504,NA,NA,NA,NA,NA
"arzevostlanán","arzevost","lanán","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"arzevostprvek","arzevost","prvek","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"aržpeníze","arž","peníze","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"aržpereo","arž","pereo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"asischiedivadlo","asischie","divadlo","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"asischiestruknice","asischie","struknice","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aspichodmluvit","aspichod","mluvit","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"aspichodvýzantní","aspichod","výzantní","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"aspirinčesuvý","aspirin","česuvý","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"aspirinmorfium","aspirin","morfium","related","word","word",0.559791472988203,NA,NA,NA,NA,NA
"aspirinobíhat","aspirin","obíhat","unrelated","word","word",0.125552846119808,NA,NA,NA,NA,NA
"astrokojmíkreslit","astrokojmí","kreslit","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"astrokojmíúžasník","astrokojmí","úžasník","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"astronautmikroplach","astronaut","mikroplach","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"astronautpilot","astronaut","pilot","related","word","word",0.54724769168522,-0.364233306366256,NA,NA,1,FALSE
"astronautpřijít","astronaut","přijít","unrelated","word","word",0.133530494153614,-0.456049987547544,NA,NA,1,FALSE
"atenlocktradiční","atenlock","tradiční","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"atenlockvyprázdřovat","atenlock","vyprázdřovat","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"atomovýdodaskromný","atomový","dodaskromný","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"atomovýjaderný","atomový","jaderný","related","word","word",0.675496948517238,-0.523531467130434,0.360305503453244,0.254774464790622,2,FALSE
"atomovýúdolí","atomový","údolí","unrelated","word","word",0.0992231729678199,-0.327585477697988,1.02152433148558,0.589777347766954,3,FALSE
"aukcefiaj","aukce","fiaj","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"aukceprodej","aukce","prodej","related","word","word",0.401625954462217,-0.94335153006432,0.125842384393647,0.0726551345051367,3,FALSE
