"word_combo","da_cue","da_target","type","cue_type","target_type","da_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abegorilla","abe","gorilla","related","word","word",0.440923447789986,-0.349201321245159,0.430543684778128,0.0621436280761364,48,50,51,0,0.980392156862745,48,51,0,0.941176470588235,TRUE,TRUE,FALSE
"åbenbaringbevidstvelse","åbenbaring","bevidstvelse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"åbenbaringløn","åbenbaring","løn","unrelated","word","word",0.114913062059679,-0.571223233013048,0.63250477846359,0.0790630973079487,64,69,70,0,0.985714285714286,68,70,0,0.971428571428571,TRUE,TRUE,TRUE
"åbenbaringvision","åbenbaring","vision","related","word","word",0.33272759521138,-0.40469289643589,0.532118171707179,0.0776174125919429,47,50,51,0,0.980392156862745,50,51,0,0.980392156862745,TRUE,TRUE,FALSE
"abeperiode","abe","periode","unrelated","word","word",0.0726008955424102,-0.393382404412937,0.766599235596639,0.106308186602892,52,55,56,1,0.982142857142857,51,57,0,0.894736842105263,FALSE,TRUE,TRUE
"abeum","abe","um","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"åbnehold","åbne","hold","unrelated","word","word",0.109622114203943,-0.683968799529242,0.573412903937565,0.0827650236112896,48,51,52,0,0.980769230769231,49,52,0,0.942307692307692,TRUE,TRUE,FALSE
"åbnelelid","åbne","lelid","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"åbnelukke","åbne","lukke","related","word","word",0.590805095320462,-0.699878536323514,0.413958399495044,0.0558181392010125,55,60,61,1,0.983606557377049,59,61,1,0.967213114754098,TRUE,TRUE,TRUE
"åbningeksternt","åbning","eksternt","unrelated","word","word",0.106853834752505,0.325081794501917,1.21522397800244,0.170165393403011,51,57,61,0,0.934426229508197,55,60,1,0.916666666666667,FALSE,TRUE,TRUE
"åbninglukning","åbning","lukning","related","word","word",0.323830384858248,-0.388486952593616,0.689288550426687,0.0946810640099841,53,58,60,0,0.966666666666667,54,59,1,0.915254237288136,FALSE,TRUE,TRUE
"åbningrestausurd","åbning","restausurd","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absofiskekstertryk","absofisk","ekstertryk","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absofiskheroin","absofisk","heroin","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutfuldstændig","absolut","fuldstændig","related","word","word",0.351238740219239,-0.243646016085156,0.68995125266903,0.101727762345043,46,50,53,2,0.943396226415094,54,54,1,1,FALSE,TRUE,FALSE
