"word_combo","en_cue","en_target","type","cue_type","target_type","en_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abhoarselyinvestibling","abhoarsely","investibling","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abhoarselystill","abhoarsely","still","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutelycompletely","absolutely","completely","related","word","word",0.623705129487914,-0.44543439237293,0.716874023368885,0.0441205461904145,264,296,303,7,0.976897689768977,292,303,7,0.963696369636964,TRUE,TRUE,TRUE
"absolutelydolted","absolutely","dolted","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutelyrob","absolutely","rob","unrelated","word","word",0.1194109302294,-0.163651368885033,0.747623785034157,0.0485633834360254,237,260,290,6,0.896551724137931,278,290,6,0.958620689655172,TRUE,TRUE,TRUE
"accidenshilyattibler","accidenshily","attibler","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidenshilyleft","accidenshily","left","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidentallyintentionally","accidentally","intentionally","related","word","word",0.579188820690093,-0.175740723534958,0.754999789608845,0.0471874868505528,256,290,297,5,0.976430976430976,290,297,5,0.976430976430976,TRUE,TRUE,TRUE
"accidentallypreporacy","accidentally","preporacy","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accidentallyreturn","accidentally","return","unrelated","word","word",0.101390045893246,-0.285603127123074,0.946545494957003,0.058255848127014,264,286,295,4,0.969491525423729,288,295,4,0.976271186440678,TRUE,TRUE,TRUE
"accistbracker","accist","bracker","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
