"word_combo","es_cue","es_target","type","cue_type","target_type","es_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abajoarriba","abajo","arriba","related","word","word",0.855572093602845,-0.776520442792025,0.58361358573276,0.0825354248128462,50,50,50,0,1,48,50,0,0.96,TRUE,TRUE,TRUE
"abajoenduoz","abajo","enduoz","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abajofútbol","abajo","fútbol","unrelated","word","word",0.122040711512369,-0.683789986743213,0.672443325088691,0.0809526633426333,69,70,70,0,1,66,70,0,0.942857142857143,TRUE,TRUE,TRUE
"abareconfesar","abare","confesar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abarepemur","abare","pemur","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcalutamentecapíver","abcalutamente","capíver","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abcalutamentecoche","abcalutamente","coche","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abejaclob","abeja","clob","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abejahormiga","abeja","hormiga","related","word","word",0.62515154004941,-0.617908421032455,1.17960174185575,0.15103252659062,61,62,62,1,1,60,62,1,0.967741935483871,FALSE,TRUE,TRUE
"abejaretirar","abeja","retirar","unrelated","word","word",0.0540576242246325,-0.303559918382272,0.583016286512326,0.0759022554251238,59,62,65,1,0.953846153846154,59,65,1,0.907692307692308,TRUE,TRUE,TRUE
"ablondercombuñero","ablonder","combuñero","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablondertemperatura","ablonder","temperatura","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abogadobaile","abogado","baile","unrelated","word","word",0.0607665575837784,-0.406424752612105,0.658717170336275,0.099305349862275,44,46,47,0,0.978723404255319,44,47,0,0.936170212765957,FALSE,FALSE,FALSE
"abogadofiscal","abogado","fiscal","related","word","word",0.552454044393976,-0.211947868888824,0.976411360160514,0.136724938145147,51,52,54,1,0.962962962962963,51,54,1,0.944444444444444,FALSE,TRUE,TRUE
"abogadonaredar","abogado","naredar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abosuedocaminar","abosuedo","caminar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abosuedoevocinación","abosuedo","evocinación","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrircerrar","abrir","cerrar","related","word","word",0.766509682954511,-0.543405520350253,0.800483907635682,0.194145864869946,17,19,19,0,1,19,19,0,1,FALSE,FALSE,FALSE
"abrircumpleaca","abrir","cumpleaca","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipo","abrir","equipo","unrelated","word","word",0.0633153944791076,-0.397998914191898,1.12177632840284,0.146042838558833,59,62,63,1,0.984126984126984,59,63,1,0.936507936507937,FALSE,TRUE,TRUE
"absolutamenteafengancia","absolutamente","afengancia","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamentecompletamente","absolutamente","completamente","related","word","word",0.677747615086265,-0.514326360427072,0.523287018842023,0.0763292565543503,47,49,49,0,1,49,49,0,1,FALSE,FALSE,FALSE
"absolutamenterobar","absolutamente","robar","unrelated","word","word",0.0450080244589127,-0.408420489082468,0.90429027228379,0.109661303201312,68,73,73,1,1,73,73,1,1,FALSE,TRUE,TRUE
"abueloabuela","abuelo","abuela","related","word","word",0.745065084356621,-0.936655115401267,0.638214256552144,0.0817149621376293,61,61,62,0,0.983870967741935,58,62,0,0.935483870967742,TRUE,TRUE,TRUE
