"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"آبانآذر","آبان","آذر","related","word","word",NA,-1.03832348586325,0.205536803723613,0.145336467696375,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آبانتصزوف","آبان","تصزوف","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبانچشم انداز","آبان","چشم انداز","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبجودور","آبجو","دور","unrelated","word","word",0.132638147671616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبجوصناله","آبجو","صناله","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبجومشروب","آبجو","مشروب","related","word","word",0.665549577530072,-0.469666778169857,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"آتششعله","آتش","شعله","related","word","word",0.552645308962847,0.253756751161369,1.16818249614631,0.826029764688485,2,2,2,0,1,1,2,0,0.5,FALSE,FALSE,FALSE
"آتشفسی","آتش","فسی","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آتشفهمیدن","آتش","فهمیدن","unrelated","word","word",0.0705858016511802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم ربابرف","آدم ربا","برف","unrelated","word","word",NA,-0.529091823524474,0.0982694613320445,0.0567358999531754,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"آدم ربابینظنه","آدم ربا","بینظنه","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم ربافدیه","آدم ربا","فدیه","related","word","word",NA,NA,NA,NA,NA,0,2,0,0,2,2,0,1,FALSE,FALSE,NA
"آدم رباییاشتباه","آدم ربایی","اشتباه","unrelated","word","word",NA,-0.39218326377178,0.861620812110848,0.351755223572339,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"آدم رباییخجال","آدم ربایی","خجال","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم رباییربودن","آدم ربایی","ربودن","related","word","word",NA,-0.177438476711977,0.742880807034004,0.525296056267079,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"آدم ربيکیاجاریـدادن","آدم ربيکی","اجاریـدادن","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آدم ربيکیحمام","آدم ربيکی","حمام","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
