"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"אבאאמא","אבא","אמא","related","word","word",0.739856839647642,-0.897858229685098,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אבאלשמור","אבא","לשמור","unrelated","word","word",0.139808213424101,-1.19066731833598,NA,NA,1,1,1,0,1,0,1,0,0,FALSE,FALSE,FALSE
"אבאסימף","אבא","סימף","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבולוציהבת דודה","אבולוציה","בת דודה","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבולוציהיושפה","אבולוציה","יושפה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבולוציהמוטציה","אבולוציה","מוטציה","related","word","word",0.459111830121441,-0.215171748609402,0.479686161745127,0.19583105549162,6,6,8,0,0.75,6,8,0,0.75,FALSE,FALSE,FALSE
"אביבאוקטלנר","אביב","אוקטלנר","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אביבמזלג","אביב","מזלג","unrelated","word","word",0.058828195483223,0.297523118212128,0.533541060414278,0.377270501860398,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אביבסתיו","אביב","סתיו","related","word","word",0.555771999953345,NA,NA,NA,NA,1,1,0,1,1,1,0,1,FALSE,FALSE,NA
"אבינהלתת","אבינה","לתת","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבינהפבר","אבינה","פבר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבסוםכחה","אבסום","כחה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבסוםכסף","אבסום","כסף","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקת שריפהבודס","אבקת שריפה","בודס","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקת שריפהדינמיט","אבקת שריפה","דינמיט","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקת שריפהנמלט","אבקת שריפה","נמלט","unrelated","word","word",NA,0.172796381182441,1.27079644817518,0.898588786012451,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"אבקתגלריפהסיבניה","אבקתגלריפה","סיבניה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אבקתגלריפהתרגיל","אבקתגלריפה","תרגיל","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אגוניםבעל חיים","אגונים","בעל חיים","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אגוניםמאזי","אגונים","מאזי","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוםלחף","אדום","לחף","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוםמנהל","אדום","מנהל","unrelated","word","word",0.0633742279925916,-1.16800283335889,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אדוםצהוב","אדום","צהוב","related","word","word",0.683223098312315,-1.07881727428839,0.314647020935963,0.128454108396654,6,7,7,0,1,6,7,0,0.857142857142857,FALSE,FALSE,FALSE
"אדוןגברת","אדון","גברת","related","word","word",0.460795526662381,-0.931366811662435,0.343187387355433,0.242670128816721,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"אדוןפרטיות","אדון","פרטיות","unrelated","word","word",0.0521517356507312,-0.247087248335164,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"אדוןפררל","אדון","פררל","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוץמדען","אדוץ","מדען","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדוץרינר","אדוץ","רינר","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדטאלוף מדעה","אדט","אלוף מדעה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדטשקרן","אדט","שקרן","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"אדםגליציה","אדם","גליציה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
