"word_combo","nl_cue","nl_target","type","cue_type","target_type","nl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"aanbiedenexkuparen","aanbieden","exkuparen","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanbiedengeven","aanbieden","geven","related","word","word",0.414846024518116,-0.817797212732198,0.240066535284874,0.169752675035894,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"aanbiedenongeluk","aanbieden","ongeluk","unrelated","word","word",0.0258850351797139,-0.575138088316878,0.729616682794104,0.326294500049103,5,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"aandachtaantrekken","aandacht","aantrekken","related","word","word",0.27810672893777,-0.399659079250084,0.403541567749626,0.164745155164892,6,6,6,0,1,6,6,0,1,FALSE,FALSE,FALSE
"aandachtherfst","aandacht","herfst","unrelated","word","word",0.127519856895399,-0.279880930198812,0.395710122977461,0.279809311341525,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"aandachtslaptakening","aandacht","slaptakening","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanhangerbiffel","aanhanger","biffel","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanhangerbusje","aanhanger","busje","related","word","word",0.174477465625205,-0.552123350270545,0.735624819704456,0.424713187678938,3,3,4,0,0.75,4,4,0,1,FALSE,FALSE,FALSE
"aanhangerverwachten","aanhanger","verwachten","unrelated","word","word",0.124936636458272,-1.18001102650237,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"aankomenkomen","aankomen","komen","related","word","word",0.40720312734622,-0.430058860061374,1.25883677991041,0.445066011740846,8,9,9,0,1,8,9,0,0.888888888888889,FALSE,FALSE,FALSE
"aankomenonaangenaam","aankomen","onaangenaam","unrelated","word","word",0.137991443816936,-0.176528084025666,0.0492631680063549,0.0348343201600257,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"aankomenporiade","aankomen","poriade","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aankomstbido","aankomst","bido","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aankomstgorilla","aankomst","gorilla","unrelated","word","word",0.102741003534312,-0.0107158557978901,1.5459843947915,0.446287253247917,12,12,13,0,0.923076923076923,13,13,0,1,FALSE,FALSE,FALSE
"aankomstvertrek","aankomst","vertrek","related","word","word",0.577868080147303,-0.195802586087665,0.12959725153392,0.0916390953827732,2,2,3,0,0.666666666666667,3,3,0,1,FALSE,FALSE,FALSE
"aannachtcun","aannacht","cun","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aannachtneef","aannacht","neef","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aansluigermenselijk","aansluiger","menselijk","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aansluigerwierstond","aansluiger","wierstond","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aantrekkelijkcharmant","aantrekkelijk","charmant","related","word","word",0.607844473050736,-0.855600324297108,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"aantrekkelijkgrootmoeder","aantrekkelijk","grootmoeder","unrelated","word","word",0.0946534379398784,-0.513359207947598,0.37401666274296,0.11827445371228,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"aantrekkelijkzuspier","aantrekkelijk","zuspier","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanvaardkelijkgooten","aanvaardkelijk","gooten","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanvaardkelijkrazernij","aanvaardkelijk","razernij","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanwezigheidafwezigheid","aanwezigheid","afwezigheid","related","word","word",0.672764373079053,-0.439747913159985,0.221612353077858,0.127947951705247,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"aanwezigheidspaghetti","aanwezigheid","spaghetti","unrelated","word","word",0.0497548238914539,0.051558711313756,0.762440733533082,0.241104929885406,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"aanwezigheidstaag","aanwezigheid","staag","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanwezigtischhongerig","aanwezigtisch","hongerig","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aanwezigtischkaeu","aanwezigtisch","kaeu","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aapgorilla","aap","gorilla","related","word","word",0.620262402698269,-0.483157130734503,0.703999521651699,0.406454313334976,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"aapperiode","aap","periode","unrelated","word","word",0.146658780961955,-0.519764080972868,0.250109514684095,0.0945325109121676,7,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"aapreaccent","aap","reaccent","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aardappelfrier","aardappel","frier","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
