"word_combo","no_cue","no_target","type","cue_type","target_type","no_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"å licksliten","å licks","liten","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"å licksskrivesperreparere","å licks","skrivesperreparere","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"å lyveærne","å lyve","ærne","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"å lyvekloster","å lyve","kloster","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"å lyveløgner","å lyve","løgner","related","word","word",NA,-0.620164353201793,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"å seå møte","å se","å møte","related","word","word",NA,-0.926598352117776,0.117356294248803,0.0829834314782527,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"å sebrumsjon","å se","brumsjon","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"å seepidemi","å se","epidemi","unrelated","word","word",NA,-0.250147529671702,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"åålflagfelse","åål","flagfelse","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"åålnukleær","åål","nukleær","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absodernutre","absodern","utre","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absodernverden","absodern","verden","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absoluttkomplett","absolutt","komplett","related","word","word",0.196040770881544,-0.899781874709647,0.125547779611272,0.0724850443547278,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"absoluttrane","absolutt","rane","unrelated","word","word",0.0982433114747306,1.14900349444525,NA,NA,1,1,1,0,1,0,1,0,0,FALSE,FALSE,FALSE
"absoluttsasis","absolutt","sasis","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administralandsknoe","administralandsk","noe","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administralandskvigne","administralandsk","vigne","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administrasjonbeholde","administrasjon","beholde","unrelated","word","word",0.0928873532553003,-0.868448601760582,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"administrasjonoksyklub","administrasjon","oksyklub","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administrasjonregjering","administrasjon","regjering","related","word","word",0.48549224924991,-0.581448848614753,0.29664907907014,0.10488128772162,8,8,8,0,1,8,8,0,1,FALSE,FALSE,FALSE
"adskilselhavn","adskilsel","havn","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adskilselsjonsperium","adskilsel","sjonsperium","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advarselbeskjed","advarsel","beskjed","related","word","word",0.366524765849566,-0.446926530747968,0.654650502722894,0.377962643972187,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"advarselfolkemengde","advarsel","folkemengde","unrelated","word","word",0.135465457530567,-0.230115045515146,1.04248153622386,0.737145763525661,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"advarselnyderens","advarsel","nyderens","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advobrukmiskreft","advobruk","miskreft","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advobrukstøvete","advobruk","støvete","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advokataktor","advokat","aktor","related","word","word",0.462442156212148,0.206727254016697,1.31909148817397,0.761577825782986,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"advokatdanse","advokat","danse","unrelated","word","word",0.0789656918660535,-0.716473250706888,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"advokatventilaments","advokat","ventilaments","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ærekeclasovn","æreke","clasovn","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ærekehydrogen","æreke","hydrogen","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"æreseabdomistein","ærese","abdomistein","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"æresepartikkel","ærese","partikkel","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"æresneforels","æresne","forels","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"æresneperfekt","æresne","perfekt","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikaamerika","afrika","amerika","related","word","word",0.42566815608853,-0.518316710908026,0.550151916501727,0.389016150841146,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"afrikadupfe","afrika","dupfe","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikaoksygen","afrika","oksygen","unrelated","word","word",0.0908560341685213,-0.968734997856588,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"agdkommunisfullt","agd","kommunisfullt","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agdtennis","agd","tennis","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentdetektiv","agent","detektiv","related","word","word",0.32867599540272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentkas","agent","kas","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentvestlig","agent","vestlig","unrelated","word","word",0.0347115989572233,0.588422030694174,1.08313965866084,0.765895397611165,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"agustingetthaike","agustinget","thaike","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agustingettittel","agustinget","tittel","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahestea","ahe","stea","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahetau","ahe","tau","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aidshiv","aids","hiv","related","word","word",0.140614418787978,-0.784845091474146,0.305454840273314,0.176354434257072,3,3,3,0,1,2,3,0,0.666666666666667,FALSE,FALSE,FALSE
"aidsrestaurant","aids","restaurant","unrelated","word","word",0.0882227236975332,0.142449616134732,0.979727675709248,0.565646037303261,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"aidssamunics","aids","samunics","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akeitflygning","akeit","flygning","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akeitkapborn","akeit","kapborn","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akktflamme","akkt","flamme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akkttagets","akkt","tagets","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akromhosos","akrom","hosos","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akromuke","akrom","uke","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aktivaktivitet","aktiv","aktivitet","related","word","word",0.460226375473976,-1.31255269819181,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"aktivdekk","aktiv","dekk","unrelated","word","word",0.103534642014724,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,NA
"aktivsaumke","aktiv","saumke","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akuttcinle","akutt","cinle","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akuttformmajohaug","akuttform","majohaug","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akuttformutfall","akuttform","utfall","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"akutthuske","akutt","huske","unrelated","word","word",0.0444464048587582,-0.320488872108352,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"akuttnødsituasjon","akutt","nødsituasjon","related","word","word",0.364553195666701,-0.129629655064733,0.0949905192621733,0.0671684403187141,2,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"albumføringse","album","føringse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"albummeter","album","meter","unrelated","word","word",0.0968589354839668,-0.522752452110873,0.764368464098876,0.540490124289461,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"albumsang","album","sang","related","word","word",0.370930582525601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
