"url_lab","timestamp","uuid","url_special_code","keep","n_trials","correct.y","n_answered","start","end","study_length"
"365",2022-12-21 21:24:47,"1e2269a0-8c40-4c4c-8c3a-6bf460995b1e",NA,"keep",800,0.97625,799,2022-12-21 21:27:14,2022-12-21 21:44:32,17.2951833327611
"365",2022-12-21 19:35:16,"d4a0d75b-8e48-4fb1-a73d-f600ba311103",NA,"keep",800,0.95375,791,2022-12-21 19:37:02,2022-12-21 20:02:38,25.6036833326022
"1594",2022-12-19 13:55:10,"fca15c1c-f152-4918-a002-498c368cab63",NA,"exclude",800,0.58,751,2022-12-19 13:57:15,2022-12-19 14:13:09,15.9014333327611
"101",2022-12-22 09:25:49,"3bc712d2-013e-43d0-b3de-bfbca481e675",NA,"keep",800,0.965,800,2022-12-22 09:27:08,2022-12-22 09:44:10,17.0324333310127
"365",2022-12-22 20:46:42,"888de8ad-047d-4202-9bc7-fa218659ea86",NA,"keep",800,0.97875,800,2022-12-22 20:48:11,2022-12-22 21:07:37,19.4310166676839
"365",2022-12-23 13:46:01,"078e8691-62f9-4598-b5bc-bb095e978aeb",NA,"keep",800,0.96375,796,2022-12-23 13:48:27,2022-12-23 14:10:03,21.6019166668256
"1594",2022-12-22 08:16:37,"13cb000c-0b3c-4bb7-9115-a1bae1fcae1f",NA,"exclude",800,0.56375,799,2022-12-22 08:19:32,2022-12-22 08:29:44,10.1981333335241
"365",2022-12-21 15:14:30,"7fe7ccad-253f-41cc-85ca-3007427b73fe",NA,"keep",800,0.98625,800,2022-12-21 15:16:22,2022-12-21 15:35:31,19.1576833327611
"365",2022-12-21 11:44:39,"40495048-8831-4a45-8dc1-5a76e6b9f764",NA,"keep",800,0.9725,798,2022-12-21 11:46:12,2022-12-21 12:04:17,18.0704166650772
"365",2022-12-24 14:52:23,"6a9cb0dd-5c04-4268-b921-f9105f55f107",NA,"keep",800,0.9725,800,2022-12-24 14:53:48,2022-12-24 15:11:18,17.5057333310445
"365",2022-12-20 16:02:42,"9b67baed-8c69-4485-898b-d69843e72495",NA,"keep",800,0.9675,797,2022-12-20 16:06:23,2022-12-20 16:27:45,21.3610166668892
"365",2022-12-20 17:26:06,"fa95a5f2-3de1-4323-a094-40df7dbc7766",NA,"keep",800,0.97375,799,2022-12-20 17:27:50,2022-12-20 17:46:46,18.9318833351135
"365",2022-12-21 23:03:13,"0afca9fc-a32e-42a2-a63d-c2759c62cd62",NA,"keep",800,0.965,800,2022-12-21 23:05:02,2022-12-21 23:24:58,19.9346666693687
"101",2022-12-21 19:21:14,"3697f07d-a048-4db0-a20e-1765672e4eb5",NA,"keep",800,0.935,785,2022-12-21 19:23:10,2022-12-21 19:42:27,19.2919666687648
"365",2022-12-21 10:06:58,"db543f9b-6fca-4ee9-bd8a-8403f70a7aa0",NA,"keep",800,0.95125,791,2022-12-21 10:08:45,2022-12-21 10:30:29,21.7201999982198
"365",2022-12-22 18:56:51,"67b72326-ef69-4908-9a14-93690b293c0b",NA,"keep",800,0.96875,800,2022-12-22 18:58:14,2022-12-22 19:14:40,16.4239833315214
"365",2022-12-21 19:42:39,"f74eb1e6-f965-41a3-b11e-97ef4db437eb",NA,"keep",800,0.94875,793,2022-12-21 19:44:53,2022-12-21 20:06:03,21.1621166666349
"365",2022-12-22 08:59:24,"a6b2501b-344f-474a-8e8e-a88531b5dd3d",NA,"keep",800,0.9775,800,2022-12-22 09:00:55,2022-12-22 09:19:50,18.9108000000318
"365",2022-12-21 21:43:10,"e06e9cb4-6580-4a04-b1f5-c3ac780d6220",NA,"keep",800,0.975,799,2022-12-21 21:43:56,2022-12-21 22:05:17,21.3587666630745
"365",2022-12-21 22:56:41,"79418872-c8c2-4705-8cb1-bb5b8d613cb9",NA,"keep",800,0.90375,792,2022-12-21 22:58:32,2022-12-21 23:21:09,22.6206666668256
"365",2022-12-21 19:53:25,"8f8c10b3-47fb-4cb9-8247-f8e9bb828509",NA,"keep",800,0.955,796,2022-12-21 19:55:20,2022-12-21 20:16:20,20.9966666658719
"1594",2022-12-22 11:58:19,"8903e400-a2c0-4ed5-9d74-c8bb51f05558",NA,"exclude",101,0.237623762376238,26,2022-12-22 11:59:27,2022-12-22 13:19:45,80.29375
"365",2022-12-21 22:02:54,"da810823-95d4-4072-8fe5-c234c043124a",NA,"keep",800,0.95,783,2022-12-21 22:04:58,2022-12-21 22:24:28,19.5122499982516
"101",2022-12-21 12:25:56,"338baedf-192d-424e-bbe5-fda53dc9a2d6",NA,"exclude",800,0.1025,193,2022-12-21 12:27:05,2022-12-21 13:14:48,47.7221666693687
"101",2022-12-21 19:15:17,"1e2d1f18-8fb4-437b-8780-9c87262a3ac6",NA,"keep",600,0.966666666666667,599,2022-12-21 19:16:27,2022-12-21 19:28:57,12.4931166648865
"365",2022-12-21 12:38:58,"f7765d39-8da8-4035-a9f4-13ce96e5d7ca",NA,"keep",800,0.98375,800,2022-12-21 12:40:35,2022-12-21 13:00:49,20.2357166687647
"365",2022-12-20 19:47:11,"2c34c351-55c4-45bf-9c76-f1654fdc60ed",NA,"keep",800,0.945,798,2022-12-20 19:49:04,2022-12-20 20:07:29,18.4206333359083
"365",2022-12-20 10:00:37,"ef2aff4f-c707-4ec4-b374-829308315046",NA,"keep",800,0.98625,799,2022-12-20 10:02:25,2022-12-20 10:23:53,21.4633000016212
"365",2022-12-22 12:02:27,"d9983386-973b-4322-9f3a-d4cbab9c421b",NA,"keep",800,0.9775,799,2022-12-22 12:03:57,2022-12-22 12:22:16,18.3151999990145
"365",2022-12-21 16:26:56,"7af77078-6149-4154-8ac9-61235c24e1b2",NA,"keep",800,0.9725,799,2022-12-21 16:28:46,2022-12-21 16:55:04,26.3112166643143
"365",2022-12-21 21:42:45,"2fbfeefd-64e8-4f59-a81c-b58172f302fa",NA,"keep",800,0.9675,799,2022-12-21 21:44:54,2022-12-21 22:01:55,17.00100000302
"101",2022-12-22 17:25:12,"2725c5e7-3bc9-495e-a509-b6681769421e",NA,"keep",800,0.92875,789,2022-12-22 17:26:29,2022-12-22 17:44:55,18.4434499979019
"101",2022-12-21 12:21:03,"bfb3ed6b-84cf-4159-8c06-870feb2f0e13",NA,"exclude",800,0.42875,685,2022-12-21 12:21:47,2022-12-21 13:22:41,60.9101666688919
"365",2022-12-20 20:19:04,"2591e631-a455-463d-a47a-cdfd186e6fc9",NA,"keep",800,0.9875,799,2022-12-20 20:20:24,2022-12-20 20:38:54,18.5026833335559
"365",2022-12-21 14:01:06,"1c10bb9b-f907-442e-a98a-23dd3a620d5e",NA,"keep",800,0.98625,800,2022-12-21 14:02:42,2022-12-21 14:20:34,17.8822000026703
"101",2022-12-24 20:20:41,"566747c2-db91-403b-a3d9-d4465074543d",NA,"keep",800,0.97375,794,2022-12-24 20:21:45,2022-12-24 20:39:46,18.0052500009537
"365",2022-12-21 08:21:22,"72787260-81d3-4402-919c-be1d704e7d91",NA,"keep",800,0.9775,795,2022-12-21 08:23:28,2022-12-21 08:48:30,25.045766667525
"365",2022-12-22 11:29:36,"71da6360-ccd6-489f-a56e-b6fea19f1c44",NA,"keep",800,0.98875,800,2022-12-22 11:31:17,2022-12-22 11:50:36,19.311566666762
"365",2022-12-21 20:47:56,"562252a0-9e7f-4d1c-b184-7db6a2b214fe",NA,"keep",800,0.97875,800,2022-12-21 20:49:42,2022-12-21 21:07:22,17.6698166648547
"365",2022-12-22 11:41:24,"f7fbd4c6-34bf-4ffd-bffa-5a3fdb9e77f6",NA,"keep",800,0.96625,799,2022-12-22 11:43:18,2022-12-22 12:03:20,20.0293833335241
"365",2022-12-21 10:56:39,"3bf94212-09b6-400c-b9a6-32a13d60fe68",NA,"keep",800,0.9475,799,2022-12-21 10:58:47,2022-12-21 11:18:13,19.4317666689555
"365",2022-12-20 12:49:13,"947b80f6-c96e-4161-83a5-920e10313819",NA,"keep",800,0.92,793,2022-12-20 12:50:58,2022-12-20 13:09:54,18.9440333326658
"365",2022-12-22 18:03:08,"402c8abc-9ae8-42ff-91e7-4f11e6805d0e",NA,"keep",800,0.82875,797,2022-12-22 18:05:00,2022-12-22 18:22:34,17.5730666677157
"365",2022-12-22 20:18:16,"a9504de5-9af4-4a09-8011-c4a6f6dd317c",NA,"keep",800,0.95125,794,2022-12-22 20:20:22,2022-12-22 20:42:05,21.7259999990463
"365",2022-12-21 12:37:25,"66851cd8-adbb-44d9-88da-9c493038b8e1",NA,"keep",800,0.985,798,2022-12-21 12:39:09,2022-12-21 13:03:35,24.4334000031153
"365",2022-12-20 16:42:18,"9d253280-f7b5-4b07-b94b-33cab3aea670",NA,"keep",800,0.9525,800,2022-12-20 16:43:33,2022-12-20 17:01:17,17.7328666647275
"101",2022-12-22 11:36:05,"8074acae-cab9-4ecb-9ad6-8ec2f44aa690",NA,"keep",800,0.97125,800,2022-12-22 11:38:11,2022-12-22 11:56:06,17.9183666666349
"1594",2022-12-19 14:16:39,"9e270c1b-3b27-449b-aa8c-ab43eca948fc",NA,"exclude",800,0.41625,659,2022-12-19 14:17:21,2022-12-19 14:34:24,17.0610499978065
"365",2022-12-20 13:03:24,"114775d1-0de4-47de-9e79-667fc8e80a71",NA,"keep",800,0.97,799,2022-12-20 13:05:35,2022-12-20 13:25:17,19.7119666655858
"365",2022-12-20 13:58:55,"a64616e7-d3e7-474c-a819-4515885984c1",NA,"keep",800,0.965,792,2022-12-20 14:02:45,2022-12-20 14:24:39,21.9099500020345
"365",2022-12-20 17:29:29,"8ed47f5d-cdbd-4cc1-846c-8141c70ee7ac",NA,"keep",800,0.945,794,2022-12-20 17:31:13,2022-12-20 17:55:14,24.0178999980291
"365",2022-12-22 18:24:31,"8257251d-3afd-4698-a934-f22a8253b6dc",NA,"keep",800,0.95125,800,2022-12-22 18:25:47,2022-12-22 18:40:47,14.9968333363533
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-22 12:11:26,"7da4e3a2-4098-4fb4-b8ae-467823989a1a",NA,"keep",1600,0.979375,1599,2022-12-22 12:13:45,2023-01-04 16:40:29,18986.7352333307
"365",2022-12-21 19:39:27,"07f74e6e-42b9-43cc-a751-91ca6b590dae",NA,"keep",800,0.9625,794,2022-12-21 19:41:40,2022-12-21 20:02:37,20.9420500000318
"365",2022-12-22 19:33:32,"99f30528-ab3a-4beb-90c5-15d8b96482ac",NA,"exclude",800,0.77375,789,2022-12-22 19:36:54,2022-12-22 20:04:20,27.4298499981562
