"word_combo","pl_cue","pl_target","type","cue_type","target_type","pl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"absochroniemuman","absochronie","muman","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absochronietak","absochronie","tak","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutniecałkowicie","absolutnie","całkowicie","related","word","word",0.578449274082806,-0.514694976123686,0.549020479647628,0.0928013988614568,35,38,38,0,1,36,38,0,0.947368421052632,FALSE,FALSE,FALSE
"absolutniemastru","absolutnie","mastru","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutnieobrabować","absolutnie","obrabować","unrelated","word","word",0.0789817931992081,0.348384607613415,1.00523118829236,0.158941006502073,40,42,44,1,0.954545454545455,43,44,1,0.977272727272727,FALSE,FALSE,FALSE
"administracjarząd","administracja","rząd","related","word","word",0.452821493734556,-0.492059208272052,1.0372397111184,0.123973857746645,70,78,81,0,0.962962962962963,74,80,1,0.925,FALSE,TRUE,TRUE
"administracjasłotrzony","administracja","słotrzony","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administracjazatrzymać","administracja","zatrzymać","unrelated","word","word",0.114489276532842,-0.348009311900353,0.675532255346705,0.115852826010088,34,35,35,0,1,35,35,0,1,FALSE,FALSE,FALSE
"administradzieszoprzećchio","administradziesz","oprzećchio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administradzieszpanna młoda","administradziesz","panna młoda","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrykaaktywować","afryka","aktywować","unrelated","word","word",0.0817376093671662,0.0857066774867508,0.806279513469646,0.140355247749896,33,33,36,1,0.916666666666667,34,36,1,0.944444444444444,FALSE,FALSE,FALSE
"afrykaameryka","afryka","ameryka","related","word","word",0.604093654494956,-0.621684026739512,0.409191720358162,0.0723355600676615,32,33,33,0,1,32,33,0,0.96969696969697,FALSE,FALSE,FALSE
"afrykaprowent","afryka","prowent","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agentdetektyw","agent","detektyw","related","word","word",0.443430728605796,-0.395310780013848,1.03922276174017,0.137648417412336,57,61,61,2,1,58,61,2,0.950819672131147,FALSE,TRUE,TRUE
