"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",0.729618291672759,-0.762616101827686,0.535864098068199,0.0645104565839764,69,71,71,0,1,71,71,0,1,TRUE,TRUE,TRUE
"abaixojogo","abaixo","jogo","unrelated","word","word",0.0874637433829765,-0.7118575638833,0.328041461282838,0.0494541110343214,44,47,47,0,1,47,47,0,1,FALSE,FALSE,FALSE
"abaixoperprestar","abaixo","perprestar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaraquentaruda","abandoar","aquentaruda","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoarhiv","abandoar","hiv","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",0.551243073872046,-0.58354374637756,0.54566140497634,0.084197382732871,42,44,45,1,0.977777777777778,44,45,1,0.977777777777778,FALSE,FALSE,FALSE
"abelhaincluístúnio","abelha","incluístúnio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",0.0743276275912317,-0.514013690559551,0.523390835565563,0.0872318059275938,36,37,39,0,0.948717948717949,38,39,0,0.974358974358974,FALSE,FALSE,FALSE
"aberturafecho","abertura","fecho","related","word","word",0.385173719994541,-0.456864253136529,0.93829779697661,0.184015337551725,26,29,30,0,0.966666666666667,29,30,0,0.966666666666667,FALSE,FALSE,FALSE
"aberturasalvador","abertura","salvador","unrelated","word","word",0.0718236685083176,-0.452126117744441,0.749022056808196,0.128456222983137,34,35,36,0,0.972222222222222,34,36,0,0.944444444444444,FALSE,FALSE,FALSE
"aberturasimpard","abertura","simpard","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurexplosão","abeur","explosão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurtranhasra","abeur","tranhasra","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipa","abrir","equipa","unrelated","word","word",0.0895483830117641,-0.541144803553975,0.974227587852918,0.164674518189559,35,38,38,1,1,38,38,1,1,FALSE,FALSE,FALSE
