"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abartnolojiaçıktışma","abartnoloji","açıktışma","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abartnolojikol","abartnoloji","kol","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abel paburadrenayecek","abel pabur","adrenayecek","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abel paburbakan","abel pabur","bakan","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablaabi","abla","abi","related","word","word",0.617457162133019,-0.587208324462576,0.526882744879763,0.0491320692979234,115,128,130,8,0.984615384615385,119,131,7,0.908396946564885,TRUE,TRUE,TRUE
"ablaiguz","abla","iguz","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablaşampiyona","abla","şampiyona","unrelated","word","word",0.107028584780046,0.614544498495544,1.82056468376014,0.168311264553745,117,127,165,2,0.76969696969697,163,166,1,0.981927710843373,FALSE,TRUE,TRUE
"abur cuburkapitazecek","abur cubur","kapitazecek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abur cuburöğle yemeği","abur cubur","öğle yemeği","related","word","word",NA,-0.104963143087586,0.949440353687853,0.0849205268570993,125,143,150,7,0.953333333333333,132,150,7,0.88,TRUE,TRUE,TRUE
"abur cuburprototip","abur cubur","prototip","unrelated","word","word",NA,0.671312497076871,0.924385544134712,0.0885400771850684,109,119,157,6,0.75796178343949,142,157,6,0.904458598726115,TRUE,TRUE,TRUE
"açgözilerli","açgöz","ilerli","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
