"word_combo","ur_cue","ur_target","type","cue_type","target_type","ur_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"آ ششتہ آششتہپریتوکول","آ ششتہ آششتہ","پریتوکول","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آ ششتہ آششتہطیش","آ ششتہ آششتہ","طیش","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آآزاد","آ","آزاد","related","word","word",0.109556082667678,-0.100229685107135,0.878341054774023,0.277755829552062,10,14,16,0,0.875,10,16,0,0.625,FALSE,FALSE,FALSE
"آبادیججپت","آبادی","ججپت","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبادیلوگ","آبادی","لوگ","related","word","word",0.307339666389976,-0.899768406485511,0.52341317078467,0.123369667474731,18,29,31,0,0.935483870967742,29,31,0,0.935483870967742,FALSE,FALSE,FALSE
"آبادییقین","آبادی","یقین","unrelated","word","word",0.12484558538155,-0.888909498152763,0.343866729562649,0.0833999321836767,17,29,31,1,0.935483870967742,29,31,1,0.935483870967742,FALSE,FALSE,FALSE
"آبدوزجیکھانا","آبدوز","جیکھانا","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آبدوزفروخت","آبدوز","فروخت","unrelated","word","word",0.0993875612568013,-0.677957096166247,0.318626430326518,0.0919795276599725,12,23,24,1,0.958333333333333,9,24,1,0.375,FALSE,FALSE,FALSE
"آبدوزکشتی","آبدوز","کشتی","related","word","word",0.374589111528257,-0.156051461045535,1.03949242747756,0.300075616412373,12,19,20,0,0.95,15,20,0,0.75,FALSE,FALSE,FALSE
"آپرمیںپسمار","آپرمیں","پسمار","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آپرمیںگولی مارنا","آپرمیں","گولی مارنا","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آپریشنسرجری","آپریشن","سرجری","related","word","word",0.349274868423606,-0.580489562053866,0.457882803353301,0.0999182193230992,21,41,43,1,0.953488372093023,37,43,1,0.86046511627907,FALSE,FALSE,FALSE
"آپریشنقلہام","آپریشن","قلہام","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آپریشنگلی","آپریشن","گلی","unrelated","word","word",0.145214755798569,-0.410242382408257,0.751867821222115,0.187966955305529,16,30,33,0,0.909090909090909,30,33,0,0.909090909090909,FALSE,FALSE,FALSE
"آتمااضافی","آتما","اضافی","unrelated","word","word",0.140397262664926,-0.532496486854401,0.621893699305625,0.150831377067247,17,29,33,0,0.878787878787879,13,32,1,0.40625,FALSE,FALSE,FALSE
"آتمادوراانہ","آتما","دوراانہ","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آتماروح","آتما","روح","related","word","word",0.340964936081276,-0.730998810097772,0.288493950809419,0.074488817797764,15,22,23,0,0.956521739130435,18,23,0,0.782608695652174,FALSE,FALSE,FALSE
"آٹوگرافظاق","آٹوگراف","ظاق","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"آٹوگراففاعل","آٹوگراف","فاعل","unrelated","word","word",NA,0.61016370345157,1.29541894453736,0.373955238170993,12,21,25,0,0.84,22,24,1,0.916666666666667,FALSE,FALSE,FALSE
"آٹوگراففوٹوگرافر","آٹوگراف","فوٹوگرافر","related","word","word",NA,-0.10083304426065,0.741084138134843,0.205539758421401,13,17,19,0,0.894736842105263,16,19,0,0.842105263157895,FALSE,FALSE,FALSE
