"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"一三","一","三","related","word","word",0.774655994802897,0.279936617817996,1.32179199573165,0.467324041749974,8,9,10,0,0.9,6,8,2,0.75,FALSE,FALSE,FALSE
"一丝中","一","丝中","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一松和援","一松","和援","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一松脸颊","一松","脸颊","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般地态","一般","地态","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般睡梦","一般","睡梦","unrelated","word","word",NA,-0.0881454131559957,0.960891589386092,0.289719715109265,11,14,16,0,0.875,15,16,0,0.9375,FALSE,FALSE,FALSE
"一般通常","一般","通常","related","word","word",0.734443081075779,-0.465817665636425,0.452472024961084,0.085509175232917,28,30,30,1,1,27,30,1,0.9,FALSE,FALSE,FALSE
"一表现","一","表现","unrelated","word","word",0.509686512050833,-0.0680594537174563,0.854224156921816,0.201342564670926,18,20,20,0,1,13,20,0,0.65,FALSE,FALSE,FALSE
"万公美丽","万公","美丽","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"万公降不","万公","降不","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"丈夫妻子","丈夫","妻子","related","word","word",0.642943934870595,-0.567717273946757,0.752321231779975,0.201066306722601,14,15,17,1,0.88235294117647,17,17,1,1,FALSE,FALSE,FALSE
"丈夫已婚","丈夫","已婚","unrelated","word","word",0.746502978119642,-0.427820713012148,0.548233434621331,0.137058358655333,16,19,20,2,0.95,20,20,2,1,FALSE,FALSE,FALSE
"丈夫躞吃闷","丈夫","躞吃闷","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"三明治妇搅","三明治","妇搅","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"三明治宗教","三明治","宗教","unrelated","word","word",0.712971410693287,0.0557735807400475,1.18391307855668,0.174558460219764,46,47,49,1,0.959183673469388,49,49,1,1,FALSE,FALSE,FALSE
"三明治汉堡包","三明治","汉堡包","related","word","word",0.944913152420135,-0.612492761763708,0.5066380177601,0.0811270104313938,39,42,42,2,1,42,42,2,1,FALSE,FALSE,FALSE
"上仙怹产品","上仙怹","产品","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上仙怹鞋去","上仙怹","鞋去","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上仪已婚","上仪","已婚","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上仪调记","上仪","调记","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上帝团体","上帝","团体","unrelated","word","word",0.529134413656685,-0.550556044588464,0.588601183200795,0.177469934166934,11,15,16,0,0.9375,14,16,0,0.875,FALSE,FALSE,FALSE
"上帝惊回","上帝","惊回","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上帝神圣","上帝","神圣","related","word","word",0.574448692333842,-0.445518657946141,0.572777001755093,0.0982304454031667,34,39,39,0,1,39,39,0,1,FALSE,FALSE,FALSE
"上湛图落","上湛","图落","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上湛癌症","上湛","癌症","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上铜消耗","上铜","消耗","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上铜范鲜","上铜","范鲜","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
