browser_language,freq.locale
English,27.6477367563486
German,9.72459563645034
Turkish,8.29789770695068
Russian,6.98644835671422
Spanish,5.35309780232882
Japanese,4.57417637006716
Polish,4.35162738942098
Portuguese,4.15292294241545
Italian,4.08933751937368
Czech,4.03767436315225
Korean,3.7157731590033
French,3.25477884195048
Danish,2.90108492628065
Missing,2.6149505225927
Hungarian,2.45201287604817
Chinese,2.24138616222231
Greek,1.72872868894806
Romanian,1.07697810276994
Serbian,0.50073520645392
Dutch,0.158963557604419
Slovak,0.0397408894011048
Ukrainian,0.0397408894011048
Catalan,0.0119222668203314
Swedish,0.0119222668203314
Arabic,0.00794817788022096
Croatian,0.00794817788022096
Armenian,0.00397408894011048
Bulgarian,0.00397408894011048
Norwegian,0.00397408894011048
Norwegian Bokmål,0.00397408894011048
Vietnamese,0.00397408894011048
