meta_platform,lab_10,lab_101,lab_1013,lab_1026,lab_104,lab_1052,lab_106,lab_1060,lab_1072,lab_113,lab_1295,lab_1352,lab_1382,lab_14,lab_148,lab_1504,lab_151,lab_1518,lab_152,lab_1531,lab_1538,lab_1560,lab_1564,lab_1594,lab_162,lab_169,lab_1696,lab_1697,lab_1733,lab_180,lab_1867,lab_1879,lab_1885,lab_1897,lab_1970,lab_2049,lab_2062,lab_2070,lab_2076,lab_2192,lab_22,lab_223,lab_2373,lab_238,lab_2382,lab_2530,lab_2539,lab_259,lab_261,lab_2620,lab_2629,lab_2631,lab_2633,lab_2635,lab_2644,lab_2646,lab_2650,lab_2654,lab_2655,lab_266,lab_2699,lab_2743,lab_2752,lab_2764,lab_2765,lab_2772,lab_2788,lab_279,lab_2790,lab_2796,lab_2810,lab_2821,lab_2823,lab_2882,lab_2892,lab_2926,lab_2937,lab_2953,lab_2976,lab_2998,lab_3083,lab_3088,lab_3143,lab_3164,lab_3222,lab_336,lab_337,lab_35,lab_358,lab_365,lab_371,lab_373-1485,lab_387,lab_40,lab_406,lab_408,lab_421,lab_423,lab_437,lab_44,lab_476,lab_58,lab_60,lab_617,lab_64,lab_712,lab_728,lab_76,lab_761,lab_772,lab_829,lab_87,lab_91,lab_93,lab_98,lab_No Lab ID,lab_ZPID
MacIntel,4,54,44,95,18,43,8,598,27,33,31,0,64,114,35,22,69,3,3,69,27,10,159,48,22,91,38,22,63,0,48,0,6,54,9,12,0,20,39,20,516,21,14,21,24,457,43,4,38,33,27,23,120,37,82,31,17,7,1,80,35,2,12,29,61,8,9,148,15,0,67,11,1,85,15,61,0,18,56,0,4,157,1,12,51,11,17,53,163,36,39,3,7,30,0,66,6,31,9,0,32,0,126,4,143,146,11,64,26,8,2,200,34,0,51,41,234
Missing,1,0,3,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,2,1,4,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,3,0,0,3,1,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,1,5,0,1,0,1,0,0,0,0,4,13
Win32,230,245,93,148,304,123,47,1139,55,67,44,81,40,1139,174,155,86,159,91,43,52,168,78,841,33,235,534,513,60,115,73,3,57,35,489,61,149,90,32,47,173,18,81,54,40,503,230,115,47,89,28,37,77,38,262,48,137,77,105,89,117,1,113,73,362,9,56,17,43,56,50,116,106,362,32,280,62,74,25,183,0,92,110,52,120,112,84,74,452,90,10,69,209,42,1,85,57,197,134,52,927,2,762,69,84,107,287,107,402,47,77,77,282,1,162,83,7266
Linux aarch64,0,3,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Linux armv81,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Linux armv8l,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,2
Linux x86_64,0,2,3,3,5,0,2,14,6,2,1,0,2,22,7,0,2,0,0,0,5,2,9,4,3,8,3,11,0,0,0,0,2,2,3,4,0,2,0,0,5,2,1,0,0,5,6,0,3,0,0,0,0,1,9,2,0,9,0,9,7,0,6,1,1,0,4,0,2,0,3,6,0,16,0,5,0,0,1,0,73,2,0,0,0,9,5,4,33,1,0,0,0,2,0,1,4,2,0,0,12,0,8,0,0,7,0,8,3,0,0,2,7,0,1,1,54
Linux armv7l,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Windows,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Linux i686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
