browser_language,freq.locale
English,27.3520381797732
Turkish,8.59956834969754
German,8.53269295072499
Russian,8.10408243912819
Japanese,5.53849895127215
Spanish,4.84846642550993
Korean,4.58400462048211
Polish,4.35298051494057
Czech,4.14627473629814
Portuguese,3.98212602972916
Italian,3.54439614554519
Missing,2.84524424719579
French,2.83308508374624
Danish,2.61422014165425
Chinese,2.43183268991093
Hungarian,2.36495729093838
Greek,1.60196978447883
Romanian,0.95753412165243
Serbian,0.452928838495912
Dutch,0.139830379669879
Ukrainian,0.0486366537982187
Slovak,0.0395172812110527
Arabic,0.0151989543119433
Catalan,0.0151989543119433
Swedish,0.0121591634495547
Norwegian,0.009119372587166
Norwegian Bokmål,0.009119372587166
Croatian,0.00607958172477734
Hebrew,0.00607958172477734
Vietnamese,0.00607958172477734
Armenian,0.00303979086238867
Bulgarian,0.00303979086238867
