"Word","FREQcount","CDcount","FREQlow","CDlow","FREQlemma","SUBTLEXWF","Lg10WF","SUBTLEXCD","Lg10CD"
"tegenspreken",109,107,106,104,155,2.4926,2.0414,1.3259,2.0334
"de_beurt",110,108,110,108,110,2.5155,2.0453,1.3383,2.0374
"aannam",110,109,110,109,2651,2.5155,2.0453,1.3507,2.0414
"wegdoen",112,107,110,106,179,2.5612,2.0531,1.3259,2.0334
"verspilde",112,111,94,93,1604,2.5612,2.0531,1.3755,2.0492
"tippen",112,108,111,107,1193,2.5612,2.0531,1.3383,2.0374
"gloednieuwe",112,108,98,95,195,2.5612,2.0531,1.3383,2.0374
"doeleinden",112,107,112,107,114,2.5612,2.0531,1.3259,2.0334
"verstandige",113,109,99,95,1228,2.5841,2.0569,1.3507,2.0414
"verraste",113,109,110,108,1887,2.5841,2.0569,1.3507,2.0414
"slaagde",113,109,109,105,1769,2.5841,2.0569,1.3507,2.0414
"proppen",113,111,113,111,220,2.5841,2.0569,1.3755,2.0492
"in_petto",113,108,113,108,113,2.5841,2.0569,1.3383,2.0374
"flauwe",113,109,102,98,1063,2.5841,2.0569,1.3507,2.0414
"behoor",113,107,108,102,1016,2.5841,2.0569,1.3259,2.0334
"versierd",114,108,111,106,972,2.6069,2.0607,1.3383,2.0374
"verschonen",114,110,114,110,174,2.6069,2.0607,1.3631,2.0453
"van_kracht",114,109,114,109,114,2.6069,2.0607,1.3507,2.0414
"uithouden",114,112,114,112,203,2.6069,2.0607,1.3879,2.0531
"schuift",114,110,107,103,943,2.6069,2.0607,1.3631,2.0453
"opwinden",114,107,110,104,1568,2.6069,2.0607,1.3259,2.0334
"geruststellend",114,110,110,107,264,2.6069,2.0607,1.3631,2.0453
"deelden",114,109,112,107,3122,2.6069,2.0607,1.3507,2.0414
"bijbrengen",114,108,113,108,178,2.6069,2.0607,1.3383,2.0374
"bevredigend",114,107,111,104,380,2.6069,2.0607,1.3259,2.0334
"zijnde",115,112,113,111,115,2.6298,2.0645,1.3879,2.0531
"voorzorg",115,108,112,105,146,2.6298,2.0645,1.3383,2.0374
"voordoet",115,109,115,109,479,2.6298,2.0645,1.3507,2.0414
"uithaalt",115,111,115,111,639,2.6298,2.0645,1.3755,2.0492
"opvallend",115,109,102,97,1101,2.6298,2.0645,1.3507,2.0414
"opgegaan",115,108,109,103,434,2.6298,2.0645,1.3383,2.0374
"meevallen",115,112,113,110,156,2.6298,2.0645,1.3879,2.0531
"gepromoveerd",115,107,110,102,194,2.6298,2.0645,1.3259,2.0334
"doodeng",115,108,95,90,120,2.6298,2.0645,1.3383,2.0374
"culturen",115,109,113,108,607,2.6298,2.0645,1.3507,2.0414
"beweer",115,108,69,63,1432,2.6298,2.0645,1.3383,2.0374
"aanpakt",115,114,115,114,1341,2.6298,2.0645,1.4126,2.0607
"waartegen",116,110,61,57,116,2.6527,2.0682,1.3631,2.0453
"vrijmaken",116,107,115,107,180,2.6527,2.0682,1.3259,2.0334
"uitsteken",116,108,115,107,266,2.6527,2.0682,1.3383,2.0374
"ruzies",116,110,112,106,2945,2.6527,2.0682,1.3631,2.0453
"overschat",116,109,105,100,133,2.6527,2.0682,1.3507,2.0414
"opzichten",116,111,116,111,305,2.6527,2.0682,1.3755,2.0492
"langzame",116,107,110,101,2880,2.6527,2.0682,1.3259,2.0334
"heft",116,107,105,98,471,2.6527,2.0682,1.3259,2.0334
"gezamenlijk",116,108,106,98,288,2.6527,2.0682,1.3383,2.0374
"commanderen",116,108,116,108,198,2.6527,2.0682,1.3383,2.0374
"broekzak",116,109,116,109,127,2.6527,2.0682,1.3507,2.0414
"afvraagt",116,114,116,114,911,2.6527,2.0682,1.4126,2.0607
"achterkomen",116,111,116,111,209,2.6527,2.0682,1.3755,2.0492
"verkregen",117,111,111,106,329,2.6755,2.0719,1.3755,2.0492
"tilt",117,110,114,107,542,2.6755,2.0719,1.3631,2.0453
"tegenkom",117,116,117,116,1051,2.6755,2.0719,1.4374,2.0682
"lieftallige",117,109,115,107,138,2.6755,2.0719,1.3507,2.0414
"gekletst",117,112,117,112,1336,2.6755,2.0719,1.3879,2.0531
"domste",117,107,112,105,5236,2.6755,2.0719,1.3259,2.0334
"dezer",117,109,115,107,75164,2.6755,2.0719,1.3507,2.0414
"bewonderde",117,110,115,109,958,2.6755,2.0719,1.3631,2.0453
"afgegeven",117,109,115,107,380,2.6755,2.0719,1.3507,2.0414
"verdreven",118,107,113,102,337,2.6984,2.0755,1.3259,2.0334
"verdedigde",118,113,116,111,2001,2.6984,2.0755,1.4002,2.0569
"spier",118,108,118,108,582,2.6984,2.0755,1.3383,2.0374
"passend",118,107,118,107,8594,2.6984,2.0755,1.3259,2.0334
"omtrek",118,109,116,107,122,2.6984,2.0755,1.3507,2.0414
"nachtelijke",118,109,105,98,144,2.6984,2.0755,1.3507,2.0414
"lijve",118,113,118,113,1174,2.6984,2.0755,1.4002,2.0569
"lastiger",118,110,117,109,3430,2.6984,2.0755,1.3631,2.0453
"indrukwekkende",118,110,87,80,939,2.6984,2.0755,1.3631,2.0453
"indenken",118,109,118,109,121,2.6984,2.0755,1.3507,2.0414
"gerukt",118,110,117,109,737,2.6984,2.0755,1.3631,2.0453
"functies",118,107,116,105,562,2.6984,2.0755,1.3259,2.0334
"elektrisch",118,107,105,95,605,2.6984,2.0755,1.3259,2.0334
"dichtdoen",118,110,114,106,212,2.6984,2.0755,1.3631,2.0453
"confronteren",118,107,116,105,315,2.6984,2.0755,1.3259,2.0334
"bevrijdt",118,107,113,103,1815,2.6984,2.0755,1.3259,2.0334
"belandt",118,115,118,115,805,2.6984,2.0755,1.425,2.0645
"bars",118,109,113,104,2307,2.6984,2.0755,1.3507,2.0414
"arresteert",118,111,108,102,4100,2.6984,2.0755,1.3755,2.0492
"aangeeft",118,109,118,109,1104,2.6984,2.0755,1.3507,2.0414
"wonderbaarlijke",119,111,113,106,357,2.7213,2.0792,1.3755,2.0492
"wegrijden",119,109,115,105,220,2.7213,2.0792,1.3507,2.0414
"verveling",119,110,109,103,119,2.7213,2.0792,1.3631,2.0453
"verschuilen",119,110,113,105,291,2.7213,2.0792,1.3631,2.0453
"vernietigde",119,111,115,107,4165,2.7213,2.0792,1.3755,2.0492
"verjagen",119,109,117,107,290,2.7213,2.0792,1.3507,2.0414
"verdoet",119,115,118,114,404,2.7213,2.0792,1.425,2.0645
"toezien",119,115,118,114,144,2.7213,2.0792,1.425,2.0645
"toegewijde",119,114,117,112,386,2.7213,2.0792,1.4126,2.0607
"teruggegeven",119,110,118,109,729,2.7213,2.0792,1.3631,2.0453
"sentimentele",119,113,100,97,354,2.7213,2.0792,1.4002,2.0569
"perverse",119,109,105,96,301,2.7213,2.0792,1.3507,2.0414
"overtroffen",119,113,119,113,317,2.7213,2.0792,1.4002,2.0569
"overtreedt",119,108,118,107,583,2.7213,2.0792,1.3383,2.0374
"omging",119,109,118,109,1701,2.7213,2.0792,1.3507,2.0414
"misbruiken",119,115,118,114,982,2.7213,2.0792,1.425,2.0645
"meedelen",119,112,119,112,156,2.7213,2.0792,1.3879,2.0531
"maken.",119,111,119,111,119,2.7213,2.0792,1.3755,2.0492
"luidruchtig",119,112,113,108,167,2.7213,2.0792,1.3879,2.0531
"kasten",119,110,117,108,1478,2.7213,2.0792,1.3631,2.0453
"geruild",119,109,109,101,1049,2.7213,2.0792,1.3507,2.0414
"geblazen",119,111,119,111,1610,2.7213,2.0792,1.3755,2.0492
"binnenlopen",119,112,118,111,204,2.7213,2.0792,1.3879,2.0531
"berekenen",119,109,117,107,349,2.7213,2.0792,1.3507,2.0414
"baantjes",119,109,118,108,7950,2.7213,2.0792,1.3507,2.0414
"aspect",119,109,119,109,218,2.7213,2.0792,1.3507,2.0414
"afkomt",119,113,119,113,349,2.7213,2.0792,1.4002,2.0569
"wemelt",120,115,112,107,142,2.7441,2.0828,1.425,2.0645
"verte",120,107,112,105,126,2.7441,2.0828,1.3259,2.0334
"verloop",120,114,120,114,120,2.7441,2.0828,1.4126,2.0607
"superieuren",120,107,120,107,383,2.7441,2.0828,1.3259,2.0334
"reserveren",120,109,118,107,582,2.7441,2.0828,1.3507,2.0414
"reiken",120,115,115,110,379,2.7441,2.0828,1.425,2.0645
"kwellen",120,115,118,114,346,2.7441,2.0828,1.425,2.0645
"geïnstalleerd",120,107,118,105,361,2.7441,2.0828,1.3259,2.0334
"eigenwijs",120,111,107,99,174,2.7441,2.0828,1.3755,2.0492
"dierbaren",120,109,119,109,649,2.7441,2.0828,1.3507,2.0414
"als_gevolg",120,113,120,113,120,2.7441,2.0828,1.4002,2.0569
"ziekelijk",121,110,107,97,205,2.767,2.0864,1.3631,2.0453
"viert",121,115,121,115,2175,2.767,2.0864,1.425,2.0645
"verzwijgen",121,107,120,106,453,2.767,2.0864,1.3259,2.0334
"verwarren",121,116,119,115,1100,2.767,2.0864,1.4374,2.0682
"urenlang",121,116,113,108,123,2.767,2.0864,1.4374,2.0682
"treuren",121,107,117,103,243,2.767,2.0864,1.3259,2.0334
"toestanden",121,112,117,109,1349,2.767,2.0864,1.3879,2.0531
"thuiskom",121,118,121,118,1121,2.767,2.0864,1.4622,2.0755
"terugnemen",121,115,115,111,191,2.767,2.0864,1.425,2.0645
"teder",121,111,112,102,176,2.767,2.0864,1.3755,2.0492
"stralend",121,111,107,97,589,2.767,2.0864,1.3755,2.0492
"spoort",121,117,112,108,639,2.767,2.0864,1.4498,2.0719
"ontmaskerd",121,112,121,112,271,2.767,2.0864,1.3879,2.0531
"ondersteunen",121,112,119,110,258,2.767,2.0864,1.3879,2.0531
"nodig.",121,113,121,113,121,2.767,2.0864,1.4002,2.0569
"misgegaan",121,111,121,111,466,2.767,2.0864,1.3755,2.0492
"meegekomen",121,118,120,117,1256,2.767,2.0864,1.4622,2.0755
"landde",121,108,119,106,1185,2.767,2.0864,1.3383,2.0374
"kortom",121,110,18,15,121,2.767,2.0864,1.3631,2.0453
"klaargemaakt",121,113,121,113,753,2.767,2.0864,1.4002,2.0569
"kapotgemaakt",121,109,121,109,121,2.767,2.0864,1.3507,2.0414
"grotendeels",121,117,101,98,121,2.767,2.0864,1.4498,2.0719
"gewijd",121,112,118,110,353,2.767,2.0864,1.3879,2.0531
"gebogen",121,108,118,105,1073,2.767,2.0864,1.3383,2.0374
"gaar",121,108,114,103,205,2.767,2.0864,1.3383,2.0374
"blunder",121,110,120,109,188,2.767,2.0864,1.3631,2.0453
"bijwonen",121,111,119,109,175,2.767,2.0864,1.3755,2.0492
"berooft",121,111,118,109,1549,2.767,2.0864,1.3755,2.0492
"achtervolg",121,115,92,86,1263,2.767,2.0864,1.425,2.0645
"zuivere",122,108,108,95,628,2.7899,2.0899,1.3383,2.0374
"zo_nu_en_dan",122,116,122,116,122,2.7899,2.0899,1.4374,2.0682
"verveeld",122,113,116,109,1273,2.7899,2.0899,1.4002,2.0569
"versnellen",122,107,116,101,275,2.7899,2.0899,1.3259,2.0334
"vandaag_de_dag",122,113,122,113,122,2.7899,2.0899,1.4002,2.0569
"uitje",122,110,120,109,122,2.7899,2.0899,1.3631,2.0453
"toegeeft",122,118,122,118,1482,2.7899,2.0899,1.4622,2.0755
"plaatste",122,107,121,106,1543,2.7899,2.0899,1.3259,2.0334
"pitten",122,115,120,114,127,2.7899,2.0899,1.425,2.0645
"overdragen",122,114,119,111,306,2.7899,2.0899,1.4126,2.0607
"ontroerd",122,107,119,105,315,2.7899,2.0899,1.3259,2.0334
"ongezien",122,114,119,112,139,2.7899,2.0899,1.4126,2.0607
"omgedraaid",122,117,120,115,962,2.7899,2.0899,1.4498,2.0719
"nageven",122,118,122,118,122,2.7899,2.0899,1.4622,2.0755
"liefdevol",122,109,111,100,201,2.7899,2.0899,1.3507,2.0414
"lachertje",122,107,121,106,123,2.7899,2.0899,1.3259,2.0334
"kwelling",122,113,121,112,147,2.7899,2.0899,1.4002,2.0569
"indrukken",122,112,119,109,2417,2.7899,2.0899,1.3879,2.0531
"in_het_duister",122,113,122,113,122,2.7899,2.0899,1.4002,2.0569
"ijdel",122,112,118,108,176,2.7899,2.0899,1.3879,2.0531
"glijdt",122,107,115,104,586,2.7899,2.0899,1.3259,2.0334
"forceren",122,111,121,111,279,2.7899,2.0899,1.3755,2.0492
"dring",122,114,77,74,1043,2.7899,2.0899,1.4126,2.0607
"drempel",122,111,121,111,125,2.7899,2.0899,1.3755,2.0492
"doorsnijden",122,111,119,108,399,2.7899,2.0899,1.3755,2.0492
"bovenal",122,119,115,112,122,2.7899,2.0899,1.4746,2.0792
"belandde",122,117,121,116,805,2.7899,2.0899,1.4498,2.0719
"afkeer",122,110,121,110,122,2.7899,2.0899,1.3631,2.0453
"aanraakte",122,110,121,110,2676,2.7899,2.0899,1.3631,2.0453
"aangekondigd",122,112,121,111,296,2.7899,2.0899,1.3879,2.0531
"zendt",123,113,115,105,899,2.8128,2.0934,1.4002,2.0569
"weerzien",123,112,123,112,149,2.8128,2.0934,1.3879,2.0531
"vorderingen",123,110,120,107,145,2.8128,2.0934,1.3631,2.0453
"terechtkomen",123,116,123,116,486,2.8128,2.0934,1.4374,2.0682
"sleepte",123,117,121,116,1030,2.8128,2.0934,1.4498,2.0719
"plaatsgevonden",123,113,123,113,571,2.8128,2.0934,1.4002,2.0569
"overneemt",123,115,123,115,1264,2.8128,2.0934,1.425,2.0645
"opwindende",123,119,113,110,2226,2.8128,2.0934,1.4746,2.0792
"ontnemen",123,113,123,113,393,2.8128,2.0934,1.4002,2.0569
"luisterden",123,118,121,116,31114,2.8128,2.0934,1.4622,2.0755
"lastpost",123,107,120,106,132,2.8128,2.0934,1.3259,2.0334
"koester",123,110,87,80,443,2.8128,2.0934,1.3631,2.0453
"gootsteen",123,107,123,107,128,2.8128,2.0934,1.3259,2.0334
"getalenteerde",123,116,119,113,151,2.8128,2.0934,1.4374,2.0682
"gehaat",123,117,118,113,6067,2.8128,2.0934,1.4498,2.0719
"geconfronteerd",123,112,115,105,314,2.8128,2.0934,1.3879,2.0531
"extra's",123,107,122,107,2870,2.8128,2.0934,1.3259,2.0334
"bloede",123,112,123,112,8173,2.8128,2.0934,1.3879,2.0531
"beschikbare",123,116,121,114,724,2.8128,2.0934,1.4374,2.0682
"als_de_dood",123,118,123,118,123,2.8128,2.0934,1.4622,2.0755
"afschieten",123,110,121,108,229,2.8128,2.0934,1.3631,2.0453
"aanraden",123,118,122,117,217,2.8128,2.0934,1.4622,2.0755
"aandringen",123,118,123,118,222,2.8128,2.0934,1.4622,2.0755
"vloeren",124,114,120,110,1552,2.8356,2.0969,1.4126,2.0607
"verpletteren",124,111,122,109,410,2.8356,2.0969,1.3755,2.0492
"verblijfplaats",124,115,120,111,134,2.8356,2.0969,1.425,2.0645
"uitsluiten",124,114,124,114,417,2.8356,2.0969,1.4126,2.0607
"uitgebreide",124,114,120,111,464,2.8356,2.0969,1.4126,2.0607
"strikken",124,118,123,117,259,2.8356,2.0969,1.4622,2.0755
"spotten",124,117,122,116,188,2.8356,2.0969,1.4498,2.0719
"sneeuwt",124,109,114,99,259,2.8356,2.0969,1.3507,2.0414
"simpelweg",124,120,116,112,124,2.8356,2.0969,1.487,2.0828
"roes",124,116,124,116,130,2.8356,2.0969,1.4374,2.0682
